Loan_ID,Age,Gender,Married,Dependents,Education,Self_Employed,Annual_Income,Coapplicant_Income,Credit_History,Loan_Amount,Loan_Term_Months,Property_Area,Existing_Loans,Monthly_Debt_Payment,Employment_Years
NEW00001,34,Male,Yes,1,Graduate,No,145600000.0,28400000.0,1.0,320000000.0,60.0,Urban,1,4100000.0,9.5
NEW00002,47,Female,No,0,Not Graduate,No,62300000.0,0.0,0.0,180000000.0,48.0,Rural,2,6800000.0,12.0
NEW00003,29,Male,No,3+,Graduate,Yes,210000000.0,55000000.0,1.0,540000000.0,84.0,Semiurban,3,9200000.0,5.2
NEW00004,52,Female,Yes,2,Graduate,No,480000000.0,120000000.0,,900000000.0,72.0,Urban,4,15400000.0,22.5
NEW00005,38,Male,Yes,0,Graduate,No,95400000.0,41200000.0,1.0,240000000.0,36.0,Metropolitan,1,3300000.0,8.0
NEW00006,44,Female,No,1,Graduate,No,168900000.0,0.0,1.0,300000000.0,60.0,Semiurban,0,,14.7
NEW00007,57,Male,Yes,2,Not Graduate,No,240500000.0,60000000.0,1.0,,,Urban,2,7600000.0,25.0
NEW00008,26,,No,0,Graduate,,44800000.0,12000000.0,0.0,120000000.0,24.0,Rural,1,2150000.0,3.1
NEW00009,41,Male,Yes,3+,Graduate,No,78000000.0,0.0,1.0,950000000.0,60.0,Urban,5,22500000.0,6.8
NEW00010,23,Female,No,0,Not Graduate,Yes,13400000.0,0.0,0.0,60000000.0,12.0,Rural,0,320000.0,0.6
NEW00011,60,Male,No,1,Graduate,Yes,620000000.0,310000000.0,1.0,1250000000.0,60.0,Semiurban,6,18300000.0,24.0
NEW00012,33,Female,Yes,1,Graduate,No,120800000.0,34600000.0,1.0,260000000.0,48.0,Urban,2,5050000.0,7.9
