Loan_ID,Age,Gender,Married,Dependents,Education,Self_Employed,Annual_Income,Coapplicant_Income,Credit_History,Loan_Amount,Loan_Term_Months,Property_Area,Existing_Loans,Monthly_Debt_Payment,Employment_Years,Total_Income,Estimated_EMI,Monthly_Income,DTI,Approval_Probability,Decision,Decision_Segment
NEW00001,34,Male,Yes,1,Graduate,No,145600000.0,28400000.0,1.0,320000000.0,60.0,Urban,1,4100000.0,9.5,174000000.0,6799054.307605866,14500000.0,0.7516589177659219,0.5691126726624886,Approved,Review
NEW00002,47,Female,No,0,Not Graduate,No,62300000.0,0.0,0.0,180000000.0,48.0,Rural,2,6800000.0,12.0,62300000.0,4565265.018254507,5191666.666666667,2.18913611908594,0.06426366994676162,Not Approved,Low Approval Probability
NEW00003,29,Male,No,3+,Graduate,Yes,210000000.0,55000000.0,1.0,540000000.0,84.0,Semiurban,3,9200000.0,5.2,265000000.0,8964639.374518411,22083333.333333332,0.8225497075253619,0.5822985134876936,Approved,Review
NEW00004,52,Female,Yes,2,Graduate,No,480000000.0,120000000.0,,900000000.0,72.0,Urban,4,15400000.0,22.5,600000000.0,16673253.998193474,50000000.0,0.6414650799638695,0.62508387630624,Approved,Review
NEW00005,38,Male,Yes,0,Graduate,No,95400000.0,41200000.0,1.0,240000000.0,36.0,Metropolitan,1,3300000.0,8.0,136600000.0,7744124.926521018,11383333.333333334,0.9702013112609972,0.4869068301445598,Not Approved,Review
NEW00006,44,Female,No,1,Graduate,No,168900000.0,0.0,1.0,300000000.0,60.0,Semiurban,0,,14.7,168900000.0,6374113.4133805,14075000.0,0.6631696918920427,0.6364798870441486,Approved,Review
NEW00007,57,Male,Yes,2,Not Graduate,No,240500000.0,60000000.0,1.0,,,Urban,2,7600000.0,25.0,300500000.0,5269267.088394547,25041666.666666668,0.5139141599358887,0.680267571529284,Approved,Review
NEW00008,26,,No,0,Graduate,,44800000.0,12000000.0,0.0,120000000.0,24.0,Rural,1,2150000.0,3.1,56800000.0,5537391.160501999,4733333.333333333,1.6240967240497182,0.10683002745872074,Not Approved,Low Approval Probability
NEW00009,41,Male,Yes,3+,Graduate,No,78000000.0,0.0,1.0,950000000.0,60.0,Urban,5,22500000.0,6.8,78000000.0,20184692.47570492,6500000.0,6.566875765493065,0.051624783116660244,Not Approved,Low Approval Probability
NEW00010,23,Female,No,0,Not Graduate,Yes,13400000.0,0.0,0.0,60000000.0,12.0,Rural,0,320000.0,0.6,13400000.0,5274953.233800594,1116666.6666666667,5.010405881015457,0.24335939730543948,Not Approved,Low Approval Probability
NEW00011,60,Male,No,1,Graduate,Yes,620000000.0,310000000.0,1.0,1250000000.0,60.0,Semiurban,6,18300000.0,24.0,930000000.0,26558805.889085416,77500000.0,0.5788233017946505,0.6264452259225869,Approved,Review
NEW00012,33,Female,Yes,1,Graduate,No,120800000.0,34600000.0,1.0,260000000.0,48.0,Urban,2,5050000.0,7.9,155400000.0,6594271.6930342885,12950000.0,0.899171559307667,0.5657823083118985,Approved,Review
