Customer_ID,Age,Monthly_Income,Avg_Balance,Monthly_Transactions,Credit_Card_Spend,Loan_Balance,Investment_Balance,Digital_Usage_Score,ATM_Transactions,Branch_Visits,Tenure_Years,Credit_Score,Product_Count
C00001,35.0,13543000.0,31539000.0,20.0,2627000.0,40395000.0,13474000.0,58.0,16.0,10.0,6.0,744.0,3.0
C00002,25.0,14859000.0,18688000.0,22.0,1873000.0,22177000.0,8210000.0,,10.0,4.0,5.0,664.0,4.0
C00003,47.0,20423000.0,33124000.0,32.0,2601000.0,31550000.0,18914000.0,63.0,12.0,4.0,5.0,715.0,3.0
C00004,31.0,15699000.0,15146000.0,19.0,1534000.0,17182000.0,11148000.0,59.0,14.0,8.0,3.0,709.0,3.0
C00005,23.0,8634000.0,37578000.0,36.0,2913000.0,29498000.0,23096000.0,68.0,8.0,3.0,4.0,724.0,4.0
C00006,35.0,12044000.0,31459000.0,33.0,2123000.0,22184000.0,34235000.0,72.0,7.0,7.0,5.0,739.0,3.0
C00007,48.0,12927000.0,56930000.0,30.0,1681000.0,17901000.0,16732000.0,72.0,7.0,7.0,8.0,727.0,1.0
C00008,39.0,12173000.0,17299000.0,27.0,1531000.0,46355000.0,20992000.0,71.0,4.0,4.0,8.0,695.0,1.0
C00009,42.0,12051000.0,39389000.0,29.0,1683000.0,28904000.0,5351000.0,61.0,8.0,4.0,4.0,734.0,3.0
C00010,41.0,17029000.0,28929000.0,26.0,3589000.0,73873000.0,13713000.0,67.0,14.0,7.0,6.0,730.0,4.0
C00011,34.0,12307000.0,22540000.0,6.0,1778000.0,28785000.0,9872000.0,62.0,8.0,5.0,4.0,666.0,1.0
C00012,31.0,7230000.0,40294000.0,44.0,3493000.0,20958000.0,17300000.0,97.0,12.0,0.0,4.0,637.0,3.0
C00013,23.0,12821000.0,9468000.0,34.0,2333000.0,22404000.0,30474000.0,81.0,7.0,4.0,5.0,680.0,3.0
C00014,40.0,11569000.0,22063000.0,29.0,4054000.0,13669000.0,18244000.0,60.0,17.0,6.0,4.0,777.0,2.0
C00015,19.0,7791000.0,12838000.0,26.0,2738000.0,15071000.0,25995000.0,52.0,8.0,6.0,3.0,725.0,1.0
C00016,36.0,8339000.0,32426000.0,34.0,1655000.0,43000000.0,33775000.0,70.0,10.0,4.0,4.0,705.0,2.0
C00017,40.0,6422000.0,37529000.0,20.0,1330000.0,34642000.0,18946000.0,49.0,10.0,6.0,6.0,695.0,2.0
C00018,33.0,10604000.0,29371000.0,28.0,1542000.0,16784000.0,14527000.0,66.0,7.0,6.0,7.0,714.0,3.0
C00019,43.0,11298000.0,41610000.0,7.0,2981000.0,33410000.0,11484000.0,40.0,17.0,7.0,6.0,703.0,2.0
C00020,19.0,7444000.0,10663000.0,15.0,1048000.0,13988000.0,9455000.0,39.0,13.0,3.0,3.0,679.0,1.0
C00021,36.0,22313000.0,20590000.0,15.0,3262000.0,41222000.0,7791000.0,58.0,15.0,9.0,6.0,755.0,4.0
C00022,25.0,10829000.0,17758000.0,15.0,3463000.0,39498000.0,36071000.0,,10.0,7.0,5.0,726.0,2.0
C00023,39.0,11339000.0,26783000.0,21.0,2084000.0,27198000.0,10047000.0,62.0,12.0,7.0,7.0,661.0,3.0
C00024,33.0,16211000.0,30137000.0,26.0,3423000.0,85025000.0,22331000.0,62.0,8.0,3.0,5.0,754.0,3.0
C00025,23.0,13166000.0,16715000.0,30.0,3426000.0,50325000.0,51165000.0,72.0,4.0,4.0,0.0,707.0,3.0
C00026,44.0,15865000.0,23320000.0,17.0,1823000.0,39045000.0,5124000.0,29.0,13.0,7.0,5.0,686.0,2.0
C00027,28.0,5960000.0,26629000.0,8.0,3310000.0,20899000.0,7367000.0,43.0,14.0,7.0,3.0,713.0,1.0
C00028,26.0,21276000.0,,46.0,2808000.0,212205000.0,72802000.0,100.0,4.0,0.0,2.0,791.0,3.0
C00029,38.0,7779000.0,26111000.0,12.0,1330000.0,20135000.0,3330000.0,32.0,14.0,1.0,8.0,687.0,1.0
C00030,23.0,15695000.0,30063000.0,34.0,1651000.0,31813000.0,18539000.0,68.0,12.0,8.0,4.0,693.0,3.0
C00031,32.0,7798000.0,13318000.0,17.0,835000.0,37252000.0,6601000.0,57.0,15.0,6.0,8.0,682.0,1.0
C00032,54.0,14779000.0,84222000.0,34.0,2614000.0,55691000.0,23766000.0,58.0,9.0,9.0,6.0,737.0,5.0
C00033,29.0,6521000.0,26679000.0,45.0,3536000.0,21651000.0,44817000.0,100.0,13.0,6.0,2.0,666.0,5.0
C00034,32.0,12431000.0,17935000.0,28.0,3170000.0,31515000.0,22576000.0,62.0,16.0,6.0,5.0,698.0,4.0
C00035,30.0,11835000.0,17695000.0,18.0,995000.0,5504000.0,10478000.0,45.0,11.0,6.0,4.0,613.0,3.0
C00036,39.0,23358000.0,38484000.0,28.0,3645000.0,66124000.0,10414000.0,69.0,4.0,6.0,6.0,684.0,5.0
C00037,45.0,23466000.0,50652000.0,20.0,1876000.0,58456000.0,21273000.0,75.0,5.0,7.0,7.0,703.0,5.0
C00038,49.0,9922000.0,22047000.0,22.0,2114000.0,47504000.0,2523000.0,76.0,5.0,3.0,7.0,672.0,3.0
C00039,46.0,23630000.0,66843000.0,11.0,2378000.0,29962000.0,45979000.0,50.0,18.0,10.0,7.0,723.0,2.0
C00040,32.0,13097000.0,14113000.0,24.0,1957000.0,27215000.0,6218000.0,48.0,10.0,2.0,4.0,720.0,5.0
C00041,48.0,25213000.0,21265000.0,15.0,3139000.0,31862000.0,16461000.0,35.0,12.0,5.0,6.0,766.0,6.0
C00042,32.0,6557000.0,25485000.0,13.0,1146000.0,27766000.0,3296000.0,59.0,9.0,7.0,7.0,672.0,1.0
C00043,34.0,8769000.0,63682000.0,21.0,3056000.0,36417000.0,8911000.0,,7.0,4.0,6.0,659.0,1.0
C00044,41.0,7435000.0,,33.0,3662000.0,43515000.0,26115000.0,77.0,14.0,10.0,6.0,719.0,5.0
C00045,36.0,7924000.0,30815000.0,31.0,2216000.0,10827000.0,8530000.0,71.0,10.0,8.0,4.0,705.0,4.0
C00046,44.0,21701000.0,69901000.0,31.0,6695000.0,21944000.0,45884000.0,71.0,17.0,9.0,8.0,685.0,8.0
C00047,24.0,9264000.0,23554000.0,17.0,1457000.0,30802000.0,29535000.0,53.0,13.0,8.0,4.0,750.0,3.0
C00048,22.0,6447000.0,22701000.0,26.0,1525000.0,21335000.0,7626000.0,71.0,14.0,4.0,1.0,641.0,1.0
C00049,30.0,11290000.0,5722000.0,16.0,1298000.0,21973000.0,3807000.0,86.0,5.0,0.0,1.0,614.0,2.0
C00050,21.0,13576000.0,53833000.0,35.0,6208000.0,74934000.0,174388000.0,65.0,9.0,10.0,2.0,781.0,2.0
C00051,31.0,8588000.0,56328000.0,44.0,7828000.0,9741000.0,36416000.0,77.0,8.0,2.0,5.0,612.0,5.0
C00052,41.0,11600000.0,26015000.0,24.0,5548000.0,36445000.0,6838000.0,41.0,9.0,10.0,6.0,764.0,1.0
C00053,29.0,7980000.0,16989000.0,33.0,2501000.0,83518000.0,9756000.0,73.0,12.0,6.0,5.0,680.0,2.0
C00054,50.0,12281000.0,53218000.0,31.0,2731000.0,89895000.0,22699000.0,63.0,9.0,5.0,6.0,739.0,4.0
C00055,30.0,19420000.0,15843000.0,43.0,1651000.0,13077000.0,35643000.0,83.0,10.0,4.0,6.0,751.0,4.0
C00056,38.0,,22616000.0,7.0,1689000.0,54915000.0,8159000.0,72.0,10.0,6.0,7.0,709.0,1.0
C00057,32.0,12796000.0,55686000.0,24.0,2441000.0,64655000.0,38823000.0,58.0,11.0,6.0,6.0,759.0,3.0
C00058,29.0,10159000.0,16891000.0,29.0,3425000.0,21656000.0,8881000.0,57.0,7.0,8.0,6.0,655.0,5.0
C00059,33.0,11122000.0,25276000.0,32.0,3140000.0,8016000.0,22733000.0,64.0,11.0,8.0,2.0,615.0,5.0
C00060,41.0,7260000.0,27199000.0,30.0,2624000.0,13588000.0,8940000.0,67.0,9.0,5.0,5.0,652.0,3.0
C00061,43.0,7850000.0,61059000.0,31.0,2586000.0,53395000.0,11199000.0,66.0,13.0,4.0,8.0,716.0,2.0
C00062,23.0,16477000.0,25822000.0,43.0,4061000.0,16392000.0,25342000.0,98.0,4.0,5.0,4.0,685.0,5.0
C00063,46.0,19231000.0,48858000.0,40.0,4413000.0,86964000.0,29173000.0,78.0,10.0,0.0,4.0,729.0,4.0
C00064,34.0,13126000.0,15691000.0,12.0,2916000.0,40241000.0,16785000.0,50.0,17.0,8.0,4.0,706.0,4.0
C00065,46.0,15047000.0,68793000.0,40.0,7805000.0,30865000.0,29842000.0,89.0,7.0,4.0,7.0,758.0,5.0
C00066,37.0,7288000.0,41945000.0,23.0,1114000.0,39538000.0,5447000.0,59.0,13.0,4.0,7.0,684.0,1.0
C00067,51.0,10245000.0,29323000.0,16.0,2853000.0,13477000.0,3825000.0,57.0,12.0,7.0,9.0,687.0,2.0
C00068,25.0,14571000.0,10716000.0,35.0,875000.0,26618000.0,34033000.0,87.0,14.0,4.0,4.0,708.0,3.0
C00069,18.0,22223000.0,9194000.0,37.0,3509000.0,15001000.0,20665000.0,86.0,8.0,1.0,1.0,733.0,3.0
C00070,18.0,8762000.0,14785000.0,42.0,1420000.0,27791000.0,11860000.0,100.0,9.0,5.0,3.0,581.0,4.0
C00071,37.0,19779000.0,27844000.0,21.0,2046000.0,32339000.0,17660000.0,77.0,8.0,1.0,5.0,695.0,3.0
C00072,34.0,12886000.0,25509000.0,18.0,1865000.0,7664000.0,9190000.0,75.0,8.0,7.0,6.0,671.0,5.0
C00073,37.0,7576000.0,36760000.0,31.0,3806000.0,14136000.0,17805000.0,70.0,7.0,1.0,6.0,654.0,5.0
C00074,45.0,11594000.0,61779000.0,38.0,2004000.0,59161000.0,39571000.0,71.0,12.0,4.0,7.0,757.0,4.0
C00075,39.0,15097000.0,36441000.0,40.0,2563000.0,62354000.0,53278000.0,87.0,6.0,4.0,6.0,746.0,6.0
C00076,45.0,13130000.0,19955000.0,6.0,940000.0,318328000.0,9242000.0,50.0,13.0,5.0,10.0,792.0,1.0
C00077,46.0,22816000.0,16083000.0,8.0,1527000.0,37749000.0,3623000.0,37.0,14.0,8.0,6.0,670.0,5.0
C00078,27.0,13213000.0,42964000.0,25.0,5985000.0,30179000.0,5005000.0,50.0,16.0,7.0,6.0,710.0,5.0
C00079,23.0,10981000.0,4776000.0,18.0,2441000.0,12958000.0,24310000.0,69.0,7.0,6.0,5.0,734.0,3.0
C00080,34.0,21296000.0,29128000.0,30.0,2195000.0,86470000.0,29667000.0,66.0,9.0,7.0,6.0,727.0,5.0
C00081,32.0,9266000.0,28389000.0,33.0,3092000.0,20379000.0,14405000.0,87.0,10.0,5.0,4.0,666.0,3.0
C00082,26.0,7278000.0,30666000.0,24.0,5832000.0,9101000.0,5301000.0,52.0,12.0,8.0,5.0,631.0,2.0
C00083,18.0,10472000.0,10832000.0,19.0,1366000.0,22689000.0,8065000.0,51.0,7.0,4.0,3.0,639.0,1.0
C00084,37.0,15728000.0,64817000.0,47.0,4048000.0,16393000.0,33232000.0,86.0,13.0,2.0,6.0,700.0,7.0
C00085,30.0,5046000.0,21801000.0,13.0,1456000.0,13457000.0,6539000.0,55.0,9.0,7.0,7.0,677.0,2.0
C00086,30.0,13105000.0,60769000.0,30.0,5602000.0,14045000.0,28344000.0,77.0,6.0,4.0,2.0,661.0,8.0
C00087,30.0,8801000.0,14347000.0,30.0,2213000.0,16023000.0,7779000.0,81.0,7.0,6.0,6.0,628.0,5.0
C00088,31.0,,11584000.0,9.0,784000.0,16349000.0,11954000.0,65.0,13.0,5.0,7.0,684.0,1.0
C00089,40.0,14200000.0,20618000.0,24.0,2475000.0,25750000.0,33715000.0,60.0,4.0,6.0,6.0,771.0,5.0
C00090,24.0,24907000.0,6064000.0,31.0,4649000.0,14526000.0,28887000.0,78.0,13.0,2.0,4.0,752.0,5.0
C00091,36.0,29662000.0,51380000.0,42.0,5210000.0,73994000.0,26262000.0,71.0,7.0,7.0,4.0,782.0,6.0
C00092,36.0,13480000.0,41013000.0,24.0,2250000.0,36995000.0,6215000.0,70.0,11.0,4.0,5.0,706.0,3.0
C00093,34.0,6392000.0,19379000.0,11.0,1129000.0,10733000.0,2960000.0,41.0,10.0,5.0,7.0,574.0,1.0
C00094,29.0,14997000.0,50951000.0,46.0,10960000.0,32957000.0,90621000.0,54.0,18.0,10.0,5.0,756.0,3.0
C00095,38.0,9045000.0,22903000.0,23.0,2022000.0,42798000.0,36061000.0,81.0,9.0,5.0,7.0,725.0,2.0
C00096,39.0,16770000.0,13211000.0,32.0,3029000.0,55379000.0,8284000.0,94.0,3.0,3.0,5.0,699.0,4.0
C00097,44.0,18021000.0,40283000.0,23.0,3010000.0,27091000.0,14108000.0,62.0,9.0,6.0,7.0,706.0,5.0
C00098,29.0,7968000.0,54372000.0,36.0,2232000.0,21379000.0,5084000.0,70.0,9.0,4.0,6.0,692.0,3.0
C00099,48.0,14447000.0,62044000.0,21.0,2454000.0,76191000.0,23805000.0,48.0,11.0,5.0,5.0,726.0,3.0
