Customer_ID,Income_Band,Digital_Engagement,Balance_Band,Tenure_Band,Recent_Activity
C00001,Medium,47,Medium,Established,Medium
C00002,Medium,37,Medium,New,High
C00003,High,62,Low,New,Low
C00004,Medium,73,Medium,Loyal,Medium
C00005,Low,41,Medium,Established,Medium
C00006,High,82,Medium,New,Medium
C00007,Medium,71,High,Established,Medium
C00008,Medium,33,High,Established,Low
C00009,Low,96,Medium,Loyal,High
C00010,Medium,23,Medium,Established,Low
C00011,Medium,72,Medium,New,High
C00012,High,55,Medium,New,Low
C00013,Medium,72,Low,New,Medium
C00014,High,82,Medium,Established,Medium
C00015,Medium,75,Medium,Established,Medium
C00016,Low,72,Medium,Established,Low
C00017,Medium,88,High,Established,Medium
C00018,Low,76,Medium,Established,Low
C00019,High,85,Medium,New,Medium
C00020,Medium,52,Low,New,High
C00021,Medium,36,Low,Established,Medium
C00022,Medium,39,Medium,Established,Medium
C00023,High,69,Medium,Loyal,Medium
C00024,High,63,Low,New,Medium
C00025,Medium,26,Low,Established,High
C00026,Low,36,Low,New,Medium
C00027,Medium,98,Medium,Established,High
C00028,Low,78,Medium,New,High
C00029,Low,81,Medium,Established,Medium
C00030,Medium,35,Low,New,Medium
C00031,Medium,25,Low,New,Medium
C00032,High,43,Low,Established,High
C00033,Medium,89,Medium,Established,Low
C00034,Medium,61,Low,Established,Low
C00035,Medium,83,Low,Established,Low
C00036,Low,59,High,Loyal,High
C00037,Low,59,Medium,New,Medium
C00038,Medium,68,High,Established,Low
C00039,Low,97,Low,Loyal,Medium
C00040,Medium,55,Low,Established,High
C00041,Medium,68,High,Established,High
C00042,High,94,Medium,Established,Low
C00043,Medium,50,Medium,New,Medium
C00044,Medium,88,High,Established,Medium
C00045,High,63,Medium,Established,Medium
C00046,High,91,Low,Established,Low
C00047,Medium,57,Medium,Loyal,Low
C00048,Low,70,Low,New,High
C00049,Medium,46,Low,New,Medium
C00050,Low,71,Low,Established,Low
C00051,Low,46,High,Established,Medium
C00052,Low,69,Medium,Established,Low
C00053,Medium,83,Low,Established,Medium
C00054,Medium,55,Low,Established,Medium
C00055,Medium,54,Medium,Loyal,Low
C00056,Medium,46,High,Established,Low
C00057,Medium,79,Low,New,High
C00058,Medium,67,Low,Established,High
C00059,Low,61,High,Established,Low
C00060,Low,22,High,New,Medium
C00061,Medium,28,High,New,Low
C00062,Medium,20,Low,Established,High
C00063,Medium,88,Low,Established,High
C00064,Medium,88,Medium,Loyal,Medium
C00065,Medium,25,Low,Established,Medium
C00066,Medium,23,High,New,Medium
C00067,Medium,83,Low,Established,Low
C00068,Medium,62,Medium,Established,Medium
C00069,Low,45,High,Loyal,Low
C00070,Medium,69,High,Established,Medium
C00071,Low,39,Medium,Established,Medium
C00072,Medium,36,High,Loyal,Low
C00073,High,49,Low,Established,Medium
C00074,Low,92,Medium,New,High
C00075,Low,82,Low,Established,Medium
C00076,Low,35,High,Established,Medium
C00077,Low,65,High,Established,High
C00078,Medium,91,Low,Loyal,Low
C00079,Medium,97,Low,New,Medium
C00080,Medium,81,Medium,Established,Medium
C00081,Medium,30,Low,New,Low
C00082,Medium,39,High,New,High
C00083,High,37,Low,Established,Medium
C00084,Low,32,Medium,Established,Medium
C00085,Low,34,Medium,Established,Low
C00086,Low,45,Medium,Established,High
C00087,Medium,64,Low,New,High
C00088,Medium,52,High,Established,Low
C00089,Low,54,Medium,Established,Medium
C00090,Medium,39,Medium,Established,Low
C00091,Low,32,Medium,Established,Medium
C00092,Medium,100,High,Loyal,Medium
C00093,Medium,68,High,Established,Low
C00094,Medium,38,High,Established,Medium
C00095,Medium,85,Medium,Established,High
C00096,Medium,87,High,Established,Medium
C00097,Medium,98,Low,Loyal,Low
C00098,Low,32,Medium,Established,High
C00099,Low,71,Medium,Established,Low
C00100,High,99,Medium,Established,Medium
C00101,High,85,High,Established,Medium
C00102,Medium,38,High,Loyal,Low
C00103,Low,92,Medium,Loyal,Low
C00104,High,54,Medium,New,Low
C00105,Medium,59,High,New,Low
C00106,Medium,65,High,Established,Medium
C00107,Medium,82,Medium,Established,High
C00108,Low,29,Low,Loyal,Low
C00109,Low,63,Low,Established,Medium
C00110,High,86,High,Loyal,Medium
C00111,Medium,64,Medium,Established,Low
C00112,Low,42,Medium,New,Medium
C00113,Medium,24,Medium,New,Low
C00114,Medium,64,Medium,Established,Medium
C00115,Low,76,Medium,New,Medium
C00116,High,64,High,Established,Medium
C00117,Medium,99,Low,Established,High
C00118,Medium,68,Medium,Established,Low
C00119,Medium,61,Medium,New,High
C00120,Medium,24,High,Loyal,Low
C00121,Medium,65,Low,Established,Low
C00122,Medium,33,Medium,Established,Low
C00123,Low,78,Low,Established,High
C00124,Medium,33,Low,Established,Medium
C00125,Low,93,Medium,Loyal,High
C00126,Medium,44,Low,Established,Medium
C00127,Medium,55,High,Established,Medium
C00128,Low,31,High,New,High
C00129,Low,37,Low,New,High
C00130,Medium,94,High,Established,High
C00131,Low,42,Medium,Established,Medium
C00132,High,61,Medium,Established,High
C00133,Medium,99,High,Loyal,Low
C00134,Medium,70,Medium,Established,High
C00135,Medium,23,Low,New,High
C00136,Low,48,Low,Established,Medium
C00137,High,51,Medium,New,Low
C00138,Medium,42,High,Established,Low
C00139,Medium,39,Medium,Established,High
C00140,Low,60,Medium,Established,High
C00141,Medium,50,Low,Established,Medium
C00142,Medium,43,High,Established,High
C00143,High,53,Low,Established,Medium
C00144,Medium,47,Medium,New,High
C00145,Medium,38,Medium,Established,Low
C00146,Low,56,Low,Loyal,Low
C00147,Medium,96,Low,New,Medium
C00148,Medium,60,Medium,Established,Medium
C00149,Medium,68,Low,New,Medium
C00150,Low,99,Medium,Established,High
C00151,High,69,High,New,Low
C00152,High,38,Low,Established,Medium
C00153,Low,52,Medium,New,Low
C00154,Medium,59,Low,Established,High
C00155,Low,58,Low,New,Low
C00156,Medium,32,Medium,Established,Medium
C00157,Low,28,Medium,New,Medium
C00158,Medium,48,Medium,Established,Medium
C00159,Medium,94,Low,Loyal,Low
C00160,Medium,78,Medium,New,Low
C00161,Low,88,Medium,Loyal,Medium
C00162,High,34,High,Established,Low
C00163,Low,53,Medium,Established,Low
C00164,Low,67,High,Established,Medium
C00165,Medium,55,Low,New,Low
C00166,Medium,53,Medium,Established,Low
C00167,High,49,Medium,New,Medium
C00168,High,24,Medium,Established,Medium
C00169,Medium,89,Medium,Established,Medium
C00170,High,95,Medium,Loyal,Medium
C00171,Low,26,High,New,Medium
C00172,Medium,53,Low,Loyal,Medium
C00173,Low,61,High,New,Medium
C00174,High,83,Medium,Established,Low
C00175,Low,99,Medium,Established,Medium
C00176,Low,53,Medium,New,Medium
C00177,Medium,80,Low,New,High
C00178,High,95,High,Established,Medium
C00179,High,87,High,New,Medium
C00180,Medium,43,High,Established,Medium
C00181,High,86,High,Loyal,High
C00182,High,53,Medium,Established,Medium
C00183,Medium,21,Medium,New,Medium
C00184,Medium,81,High,New,High
C00185,Medium,87,Low,New,Medium
C00186,Medium,47,High,Established,Medium
C00187,Medium,56,Medium,Established,Low
C00188,Low,49,Medium,New,Low
C00189,Medium,29,Medium,New,High
C00190,Low,100,Medium,Established,Low
C00191,High,21,Low,Established,Low
C00192,Low,65,Medium,Established,Low
C00193,Low,21,Medium,Loyal,High
C00194,High,75,Low,New,Medium
C00195,Low,92,Low,Established,Medium
C00196,Low,72,Medium,Loyal,High
C00197,Medium,69,Low,Established,Medium
C00198,High,87,High,Established,High
C00199,Low,98,Low,Established,Medium
C00200,Medium,89,Medium,Established,Medium
C00201,Medium,38,Low,Established,High
C00202,High,65,Medium,Established,High
C00203,Medium,86,Medium,Established,Low
C00204,Low,43,Medium,Established,Low
C00205,Low,74,Medium,Established,High
C00206,Low,21,Medium,Loyal,Medium
C00207,Low,91,Low,New,Medium
C00208,Medium,69,Medium,New,Low
C00209,Low,80,Medium,Established,High
C00210,Medium,86,Medium,New,Medium
C00211,Medium,37,Medium,Established,High
C00212,Medium,56,Medium,New,Medium
C00213,Low,89,Medium,Established,High
C00214,High,33,Low,Established,Medium
C00215,Medium,86,Low,New,Medium
C00216,Medium,43,Low,New,Medium
C00217,Low,66,Medium,Established,Medium
C00218,Low,61,High,Established,Medium
C00219,High,75,Medium,Established,Low
C00220,Medium,87,Medium,New,Medium
C00221,Medium,48,Low,New,Medium
C00222,Medium,33,High,New,Low
C00223,Medium,54,Low,New,Medium
C00224,High,69,Medium,Loyal,Medium
C00225,Low,80,High,New,Low
C00226,High,81,Medium,New,Medium
C00227,Low,47,Low,Loyal,Low
C00228,Medium,95,Low,Established,High
C00229,Medium,26,Medium,Established,High
C00230,Low,29,Low,Established,Medium
C00231,Low,22,Medium,Loyal,Medium
C00232,Medium,95,Medium,New,Low
C00233,High,34,Low,New,High
C00234,Medium,68,Low,Loyal,Low
C00235,High,85,High,Established,High
C00236,High,82,Medium,Loyal,High
C00237,Medium,96,Medium,Established,Low
C00238,Medium,24,Medium,Loyal,Medium
C00239,Low,52,Low,Established,Medium
C00240,Low,60,Medium,Established,Medium
C00241,High,76,Medium,Loyal,Low
C00242,Medium,70,Medium,New,Medium
C00243,Low,65,High,New,Low
C00244,Medium,44,High,Established,High
C00245,Medium,28,Medium,Loyal,Medium
C00246,High,54,Medium,New,Medium
C00247,Medium,41,Medium,Loyal,High
C00248,Medium,64,Medium,Established,Medium
C00249,Medium,84,Low,Established,Medium
C00250,Medium,64,High,Established,Medium
C00251,Medium,67,High,Loyal,Medium
C00252,High,23,Low,New,Medium
C00253,Medium,72,High,Established,High
C00254,Low,55,High,New,Low
C00255,Low,30,Medium,Loyal,Medium
C00256,Medium,37,High,Established,High
C00257,High,83,Low,New,Medium
C00258,Low,94,Low,New,High
C00259,Low,61,Low,Established,Low
C00260,Medium,99,Medium,Established,Low
C00261,Low,34,Medium,Loyal,Medium
C00262,High,44,High,Established,Medium
C00263,Medium,95,Low,Established,High
C00264,Low,34,Low,Established,Medium
C00265,High,73,Medium,Established,Low
C00266,Low,37,Low,New,Medium
C00267,Low,46,Medium,New,Medium
C00268,Low,58,Medium,Established,Medium
C00269,Low,49,High,Established,Low
C00270,Low,90,Medium,New,Medium
C00271,Low,98,Low,Established,High
C00272,Low,60,Low,New,Medium
C00273,Low,62,Low,Established,Medium
C00274,Medium,24,High,New,Low
C00275,Medium,38,Medium,Established,High
C00276,Medium,23,Medium,New,Low
C00277,Medium,89,Low,Established,Medium
C00278,Medium,38,High,New,Medium
C00279,High,47,Low,Established,Low
C00280,High,88,Medium,Established,Medium
C00281,Low,77,Medium,New,Low
C00282,Low,70,Low,Established,High
C00283,Low,23,Medium,Established,Low
C00284,Low,65,Low,Established,High
C00285,Medium,65,Medium,Established,Medium
C00286,Medium,45,High,Established,Low
C00287,Low,80,Medium,Established,Medium
C00288,Medium,95,High,Established,Low
C00289,Medium,40,Medium,Established,High
C00290,Low,46,Low,New,Low
C00291,High,46,Medium,Established,High
C00292,Low,87,Medium,New,Low
C00293,High,26,Low,Established,Low
C00294,Low,92,Medium,New,Low
C00295,High,82,Medium,New,Medium
C00296,High,59,Medium,Established,Medium
C00297,High,67,Low,Loyal,High
C00298,High,92,High,New,Medium
C00299,Medium,82,Medium,Established,Low
C00300,Medium,42,Low,Established,High
C00301,Medium,24,Low,Loyal,Medium
C00302,Low,73,High,Established,High
C00303,Medium,31,Medium,New,Medium
C00304,Medium,27,Medium,New,Medium
C00305,High,99,Low,Established,Low
C00306,Medium,58,Medium,New,High
C00307,Medium,72,Medium,Loyal,Low
C00308,Medium,37,Low,Loyal,High
C00309,Low,28,High,Loyal,Low
C00310,Low,25,Low,New,High
C00311,Medium,48,Low,Established,High
C00312,Medium,20,Medium,Established,High
C00313,Low,54,Medium,New,Medium
C00314,Medium,46,Low,New,Medium
C00315,Medium,62,Medium,New,High
C00316,Medium,67,Low,Established,Medium
C00317,Medium,44,Medium,Loyal,Medium
C00318,Medium,56,Medium,Loyal,Low
C00319,Low,26,High,New,Medium
C00320,High,44,Medium,Established,Medium
C00321,High,99,Medium,New,Medium
C00322,Medium,100,Medium,New,Low
C00323,Medium,59,Low,New,Medium
C00324,Medium,96,Low,Established,High
C00325,High,60,High,Established,Medium
C00326,Medium,30,Low,Loyal,High
C00327,High,90,Medium,Loyal,Low
C00328,Medium,53,Low,New,Medium
C00329,Medium,69,High,Established,Medium
C00330,Low,72,Low,New,Medium
C00331,Medium,44,High,Established,Medium
C00332,Low,79,Medium,Established,Low
C00333,Medium,60,Low,New,Medium
C00334,High,49,Medium,New,Low
C00335,Low,44,Medium,New,Medium
C00336,Medium,80,Low,New,High
C00337,Low,40,Low,Loyal,Low
C00338,Medium,30,Medium,New,Medium
C00339,Low,91,Medium,Established,Medium
C00340,High,46,Low,Loyal,Medium
C00341,Low,71,High,Established,Low
C00342,High,78,Low,Established,Medium
C00343,High,87,Low,Loyal,High
C00344,Medium,70,Medium,New,Medium
C00345,Medium,77,Low,New,Medium
C00346,Medium,87,Low,Established,Medium
C00347,High,96,Medium,Established,High
C00348,Low,23,Low,Established,Low
C00349,Medium,80,Low,New,Low
C00350,Low,34,Medium,Established,Medium
C00351,Medium,92,Medium,Established,Medium
C00352,Low,23,High,Loyal,Medium
C00353,Medium,39,Medium,New,Low
C00354,Medium,35,Medium,New,Low
C00355,Medium,68,Low,Loyal,Medium
C00356,Medium,20,Medium,Established,Low
C00357,Medium,21,Low,New,Medium
C00358,Medium,60,Low,New,Medium
C00359,Medium,98,High,Established,Low
C00360,Medium,62,Medium,Established,Medium
C00361,High,56,Medium,Established,High
C00362,Low,73,Low,Loyal,High
C00363,Low,64,Low,New,Low
C00364,Low,51,Medium,New,Medium
C00365,Medium,67,Medium,Established,High
C00366,Medium,20,Medium,Loyal,Medium
C00367,Medium,39,Low,New,Low
C00368,Medium,74,Low,Established,Low
C00369,Medium,47,Medium,New,Medium
C00370,High,24,Medium,New,High
C00371,Medium,30,Low,Loyal,High
C00372,Low,90,Low,New,High
C00373,Medium,46,Low,New,Medium
C00374,Medium,21,Low,Established,Medium
C00375,Low,79,Medium,Established,Low
C00376,Low,62,Low,Established,Low
C00377,High,56,Medium,Established,Low
C00378,Medium,92,Medium,New,High
C00379,Medium,45,High,Established,Low
C00380,Medium,66,High,Established,Medium
C00381,Medium,80,Low,New,Medium
C00382,High,69,Low,Established,Medium
C00383,Medium,36,Low,Established,Medium
C00384,Medium,75,Medium,Loyal,Low
C00385,Medium,80,Low,Loyal,Medium
C00386,High,29,Medium,Loyal,Medium
C00387,Medium,33,Low,Established,High
C00388,High,74,Low,New,Medium
C00389,Low,29,Medium,Loyal,High
C00390,High,91,Medium,Established,Medium
C00391,Medium,28,Medium,Established,Low
C00392,Low,98,High,Loyal,Medium
C00393,Medium,74,Low,New,High
C00394,Medium,55,Low,New,Low
C00395,Low,41,Medium,Established,Low
C00396,Medium,47,Medium,Established,High
C00397,High,80,Medium,New,High
C00398,Low,81,Low,Established,Low
C00399,Medium,36,High,Established,High
C00400,Medium,63,Low,Established,Medium
C00401,Medium,100,Medium,New,Medium
C00402,High,40,Medium,Established,Medium
C00403,Medium,76,High,Established,High
C00404,Low,33,Medium,Loyal,Low
C00405,High,87,High,New,High
C00406,High,33,Low,Loyal,Low
C00407,Low,44,Medium,Established,Medium
C00408,High,57,High,Established,Medium
C00409,Low,50,Medium,Established,High
C00410,High,33,Medium,New,High
C00411,Medium,71,High,Established,High
C00412,Medium,21,Low,New,Medium
C00413,Low,99,Medium,New,Low
C00414,High,24,High,Loyal,High
C00415,Low,47,High,New,Medium
C00416,Low,95,High,Loyal,Medium
C00417,Low,32,High,Established,Medium
C00418,Medium,25,Low,Loyal,Medium
C00419,Low,80,High,New,Medium
C00420,High,25,Medium,Established,Medium
C00421,Medium,92,Medium,Established,Low
C00422,Low,56,Medium,Loyal,High
C00423,Low,90,High,New,High
C00424,Low,39,Medium,New,Medium
C00425,Medium,31,High,Loyal,High
C00426,High,97,Low,New,Medium
C00427,Low,81,Low,Established,Medium
C00428,High,93,Medium,New,High
C00429,Low,45,Low,New,Medium
C00430,High,52,Medium,Established,High
C00431,High,66,Low,Established,Medium
C00432,Medium,56,Medium,Established,Medium
C00433,Medium,39,Low,Established,Low
C00434,High,50,Low,Established,High
C00435,Low,69,Medium,Loyal,Low
C00436,Low,23,Low,New,Medium
C00437,Low,47,Low,Established,Low
C00438,Medium,43,Low,Established,Medium
C00439,Medium,25,Low,Established,Medium
C00440,Medium,29,Medium,Established,High
C00441,High,60,Low,Established,Medium
C00442,Low,28,Medium,Established,Low
C00443,Medium,47,Medium,Established,Low
C00444,Low,65,Medium,Loyal,Low
C00445,Low,90,Medium,Established,Medium
C00446,Medium,27,Low,Established,High
C00447,High,55,High,New,Medium
C00448,Medium,28,Medium,Established,Medium
C00449,Low,54,Low,New,Low
C00450,Medium,58,High,Loyal,High
C00451,Low,84,Medium,Established,High
C00452,High,55,Medium,New,High
C00453,Medium,95,High,New,Low
C00454,Low,31,Low,Established,Medium
C00455,Low,24,High,Loyal,High
C00456,Low,20,Medium,Established,Low
C00457,High,48,Medium,New,Medium
C00458,Medium,35,Low,Established,High
C00459,Medium,27,Low,Loyal,High
C00460,Medium,39,High,Loyal,Medium
C00461,Medium,98,Low,New,Medium
C00462,Low,84,Low,Established,High
C00463,High,21,Medium,Established,Medium
C00464,Medium,94,Medium,Established,High
C00465,Medium,36,Low,Established,Medium
C00466,Medium,52,High,Established,High
C00467,Medium,46,Medium,Established,High
C00468,High,52,High,New,Medium
C00469,Low,81,Low,New,Medium
C00470,Medium,77,Low,Established,Low
C00471,Medium,68,Medium,New,High
C00472,Medium,70,Low,Established,Medium
C00473,Low,78,Medium,Loyal,Low
C00474,Low,34,Low,Loyal,High
C00475,Low,52,Medium,New,High
C00476,Medium,28,High,New,High
C00477,Medium,77,High,Established,Medium
C00478,Medium,55,High,Established,High
C00479,Medium,71,High,New,High
C00480,Medium,65,Medium,Loyal,Low
C00481,Medium,42,Medium,New,High
C00482,Low,31,High,New,Medium
C00483,Medium,98,High,Established,High
C00484,Medium,43,High,Established,High
C00485,Low,28,Medium,Established,Medium
C00486,Medium,44,Low,Established,Medium
C00487,Medium,93,High,Loyal,Low
C00488,Low,41,High,New,Low
C00489,Medium,99,Medium,Established,Medium
C00490,Medium,57,High,New,High
C00491,Medium,89,Medium,Established,Low
C00492,Medium,72,High,Established,Low
C00493,Medium,23,Low,Established,Medium
C00494,Medium,61,High,New,Low
C00495,Medium,53,Low,Loyal,Low
C00496,Medium,36,Low,Established,Low
C00497,Medium,64,Low,Loyal,Medium
C00498,Medium,28,Medium,Established,Medium
C00499,Medium,76,Low,Loyal,High
C00500,Medium,86,High,Established,Medium
C00501,Medium,27,Medium,Established,Low
C00502,High,58,High,Established,High
C00503,High,73,Low,Established,High
C00504,Medium,25,Low,Established,Medium
C00505,Medium,51,Medium,Established,High
