State_ID,Recommended_Action,State
0,Investment Offer,"('Medium', 'Medium', 'Medium', 'Established', 'Medium')"
1,Personal Loan Offer,"('Medium', 'Low', 'Medium', 'New', 'High')"
2,Credit Card Offer,"('High', 'Medium', 'Low', 'New', 'Low')"
3,Investment Offer,"('Medium', 'High', 'Medium', 'Loyal', 'Medium')"
4,Savings Offer,"('Low', 'Medium', 'Medium', 'Established', 'Medium')"
5,Personal Loan Offer,"('High', 'High', 'Medium', 'New', 'Medium')"
6,Investment Offer,"('Medium', 'High', 'High', 'Established', 'Medium')"
7,Investment Offer,"('Medium', 'Low', 'High', 'Established', 'Low')"
8,Investment Offer,"('Low', 'High', 'Medium', 'Loyal', 'High')"
9,Savings Offer,"('Medium', 'Low', 'Medium', 'Established', 'Low')"
10,Investment Offer,"('Medium', 'High', 'Medium', 'New', 'High')"
11,Investment Offer,"('High', 'Medium', 'Medium', 'New', 'Low')"
12,Credit Card Offer,"('Medium', 'High', 'Low', 'New', 'Medium')"
13,Investment Offer,"('High', 'High', 'Medium', 'Established', 'Medium')"
14,Investment Offer,"('Medium', 'High', 'Medium', 'Established', 'Medium')"
15,Savings Offer,"('Low', 'High', 'Medium', 'Established', 'Low')"
16,Credit Card Offer,"('Medium', 'Medium', 'Low', 'New', 'High')"
17,Credit Card Offer,"('Medium', 'Low', 'Low', 'Established', 'Medium')"
18,Investment Offer,"('Medium', 'Low', 'Medium', 'Established', 'Medium')"
19,Investment Offer,"('High', 'Medium', 'Medium', 'Loyal', 'Medium')"
20,Credit Card Offer,"('High', 'Medium', 'Low', 'New', 'Medium')"
21,Personal Loan Offer,"('Medium', 'Low', 'Low', 'Established', 'High')"
22,Savings Offer,"('Low', 'Low', 'Low', 'New', 'Medium')"
23,Investment Offer,"('Medium', 'High', 'Medium', 'Established', 'High')"
24,Savings Offer,"('Low', 'High', 'Medium', 'New', 'High')"
25,Savings Offer,"('Low', 'High', 'Medium', 'Established', 'Medium')"
26,Personal Loan Offer,"('Medium', 'Low', 'Low', 'New', 'Medium')"
27,Investment Offer,"('High', 'Medium', 'Low', 'Established', 'High')"
28,Investment Offer,"('Medium', 'High', 'Medium', 'Established', 'Low')"
29,Investment Offer,"('Medium', 'Medium', 'Low', 'Established', 'Low')"
30,Investment Offer,"('Medium', 'High', 'Low', 'Established', 'Low')"
31,Savings Offer,"('Low', 'Medium', 'High', 'Loyal', 'High')"
32,Savings Offer,"('Low', 'Medium', 'Medium', 'New', 'Medium')"
33,Investment Offer,"('Medium', 'Medium', 'High', 'Established', 'Low')"
34,Savings Offer,"('Low', 'High', 'Low', 'Loyal', 'Medium')"
35,Credit Card Offer,"('Medium', 'Medium', 'Low', 'Established', 'High')"
36,Investment Offer,"('Medium', 'Medium', 'High', 'Established', 'High')"
37,Investment Offer,"('High', 'High', 'Medium', 'Established', 'Low')"
38,Investment Offer,"('Medium', 'Medium', 'Medium', 'New', 'Medium')"
39,Investment Offer,"('High', 'Medium', 'Medium', 'Established', 'Medium')"
40,Credit Card Offer,"('High', 'High', 'Low', 'Established', 'Low')"
41,Investment Offer,"('Medium', 'Medium', 'Medium', 'Loyal', 'Low')"
42,Savings Offer,"('Low', 'High', 'Low', 'New', 'High')"
43,Credit Card Offer,"('Medium', 'Medium', 'Low', 'New', 'Medium')"
44,Savings Offer,"('Low', 'High', 'Low', 'Established', 'Low')"
45,Investment Offer,"('Low', 'Medium', 'High', 'Established', 'Medium')"
46,Savings Offer,"('Low', 'Medium', 'Medium', 'Established', 'Low')"
47,Credit Card Offer,"('Medium', 'High', 'Low', 'Established', 'Medium')"
48,Credit Card Offer,"('Medium', 'Medium', 'Low', 'Established', 'Medium')"
49,Credit Card Offer,"('Medium', 'High', 'Low', 'New', 'High')"
50,Investment Offer,"('Low', 'Medium', 'High', 'Established', 'Low')"
51,Investment Offer,"('Low', 'Low', 'High', 'New', 'Medium')"
52,Savings Offer,"('Medium', 'Low', 'High', 'New', 'Low')"
53,Credit Card Offer,"('Medium', 'High', 'Low', 'Established', 'High')"
54,Investment Offer,"('Medium', 'Low', 'High', 'New', 'Medium')"
55,Savings Offer,"('Low', 'Medium', 'High', 'Loyal', 'Low')"
56,Investment Offer,"('Medium', 'Medium', 'High', 'Established', 'Medium')"
57,Savings Offer,"('Low', 'Low', 'Medium', 'Established', 'Medium')"
