Customer_ID,Product,Latent_Group
C00001,Savings Account,Wealth
C00001,Credit Card,Wealth
C00001,Insurance,Wealth
C00001,Time Deposit,Wealth
C00002,Savings Account,Basic
C00002,Mobile Banking,Basic
C00003,Mobile Banking,Basic
C00003,Personal Loan,Basic
C00003,Savings Account,Basic
C00004,Savings Account,Credit
C00004,Debit Card,Credit
C00004,Mobile Banking,Credit
C00004,Credit Card,Credit
C00004,Personal Loan,Credit
C00005,Savings Account,Basic
C00005,Debit Card,Basic
C00005,Mobile Banking,Basic
C00005,Investment,Basic
C00006,Savings Account,Wealth
C00006,Debit Card,Wealth
C00006,Mobile Banking,Wealth
C00006,Credit Card,Wealth
C00006,Investment,Wealth
C00006,Time Deposit,Wealth
C00007,Savings Account,Credit
C00007,Debit Card,Credit
C00007,Mobile Banking,Credit
C00007,Credit Card,Credit
C00007,Personal Loan,Credit
C00007,Insurance,Credit
C00007,E-Wallet,Credit
C00008,Savings Account,Wealth
C00008,Credit Card,Wealth
C00008,Mortgage,Wealth
C00008,Investment,Wealth
C00008,Insurance,Wealth
C00008,Time Deposit,Wealth
C00009,Savings Account,Digital
C00009,Debit Card,Digital
C00009,Mobile Banking,Digital
C00009,E-Wallet,Digital
C00010,Debit Card,Basic
C00010,Mobile Banking,Basic
C00010,E-Wallet,Basic
C00010,Savings Account,Basic
C00011,Savings Account,Credit
C00011,Debit Card,Credit
C00011,Mobile Banking,Credit
C00011,Credit Card,Credit
C00012,Savings Account,Credit
C00012,Debit Card,Credit
C00012,Mobile Banking,Credit
C00012,Credit Card,Credit
C00012,Personal Loan,Credit
C00012,Mortgage,Credit
C00012,E-Wallet,Credit
C00013,Savings Account,Credit
C00013,Debit Card,Credit
C00013,Mobile Banking,Credit
C00013,Personal Loan,Credit
C00013,Investment,Credit
C00014,Savings Account,Credit
C00014,Debit Card,Credit
C00014,Mobile Banking,Credit
C00014,Credit Card,Credit
C00014,Personal Loan,Credit
C00014,Mortgage,Credit
C00014,E-Wallet,Credit
C00015,Savings Account,Digital
C00015,Debit Card,Digital
C00015,Mobile Banking,Digital
C00015,E-Wallet,Digital
C00016,Debit Card,Credit
C00016,Mobile Banking,Credit
C00016,Personal Loan,Credit
C00016,E-Wallet,Credit
C00016,Time Deposit,Credit
C00016,Savings Account,Credit
C00017,Savings Account,Credit
C00017,Debit Card,Credit
C00018,Debit Card,Digital
C00018,Credit Card,Digital
C00018,Insurance,Digital
C00018,E-Wallet,Digital
C00018,Savings Account,Digital
C00019,Savings Account,Digital
C00019,Mortgage,Digital
C00019,Insurance,Digital
C00020,Savings Account,Credit
C00020,Debit Card,Credit
C00020,Mobile Banking,Credit
C00020,Insurance,Credit
C00021,Savings Account,Digital
C00021,Debit Card,Digital
C00021,Credit Card,Digital
C00021,Mortgage,Digital
C00021,E-Wallet,Digital
C00022,Debit Card,Credit
C00022,Personal Loan,Credit
C00022,Investment,Credit
C00022,Insurance,Credit
C00022,Savings Account,Credit
C00023,Savings Account,Digital
C00023,Debit Card,Digital
C00023,Mobile Banking,Digital
C00024,Savings Account,Digital
C00024,Debit Card,Digital
C00024,Mobile Banking,Digital
C00024,Credit Card,Digital
C00024,Personal Loan,Digital
C00024,E-Wallet,Digital
C00025,Savings Account,Basic
C00025,Debit Card,Basic
C00025,Mobile Banking,Basic
C00025,Credit Card,Basic
C00025,Personal Loan,Basic
C00025,Insurance,Basic
C00026,Savings Account,Credit
C00026,Debit Card,Credit
C00026,Personal Loan,Credit
C00026,Mortgage,Credit
C00027,Savings Account,Digital
C00027,Debit Card,Digital
C00027,Mobile Banking,Digital
C00027,Personal Loan,Digital
C00027,Investment,Digital
C00028,Savings Account,Basic
C00028,Debit Card,Basic
C00028,Credit Card,Basic
C00029,Savings Account,Digital
C00029,Debit Card,Digital
C00029,Mobile Banking,Digital
C00029,Credit Card,Digital
C00030,Debit Card,Basic
C00030,Mobile Banking,Basic
C00030,Savings Account,Basic
C00031,Savings Account,Wealth
