Antecedent,Consequent,Support,Confidence,Lift
Time Deposit,Investment,0.0784,0.42060085836909866,2.246799457099886
Savings Account + Time Deposit,Investment,0.0784,0.42060085836909866,2.246799457099886
Time Deposit,Investment + Savings Account,0.0784,0.42060085836909866,2.246799457099886
Investment,Time Deposit,0.0784,0.41880341880341876,2.2467994570998857
Investment + Savings Account,Time Deposit,0.0784,0.41880341880341876,2.2467994570998857
Investment,Savings Account + Time Deposit,0.0784,0.41880341880341876,2.2467994570998857
Mobile Banking + Savings Account + Time Deposit,Investment,0.0532,0.41304347826086957,2.2064288368636196
Mobile Banking + Time Deposit,Investment + Savings Account,0.0532,0.41304347826086957,2.2064288368636196
Mobile Banking + Time Deposit,Investment,0.0532,0.41304347826086957,2.2064288368636196
Investment + Savings Account,Mobile Banking + Time Deposit,0.0532,0.2841880341880342,2.2064288368636196
Investment,Mobile Banking + Savings Account + Time Deposit,0.0532,0.2841880341880342,2.2064288368636196
Investment,Mobile Banking + Time Deposit,0.0532,0.2841880341880342,2.2064288368636196
Investment + Mobile Banking + Savings Account,Time Deposit,0.0532,0.40548780487804875,2.175363760075369
Investment + Mobile Banking,Savings Account + Time Deposit,0.0532,0.40548780487804875,2.175363760075369
Investment + Mobile Banking,Time Deposit,0.0532,0.40548780487804875,2.175363760075369
Savings Account + Time Deposit,Investment + Mobile Banking,0.0532,0.2854077253218884,2.175363760075369
Time Deposit,Investment + Mobile Banking + Savings Account,0.0532,0.2854077253218884,2.175363760075369
Time Deposit,Investment + Mobile Banking,0.0532,0.2854077253218884,2.175363760075369
Debit Card + Investment,Time Deposit,0.054,0.39705882352941174,2.1301439030547837
Debit Card + Investment + Savings Account,Time Deposit,0.054,0.39705882352941174,2.1301439030547837
Debit Card + Investment,Savings Account + Time Deposit,0.054,0.39705882352941174,2.1301439030547837
Time Deposit,Debit Card + Investment,0.054,0.2896995708154506,2.1301439030547837
Savings Account + Time Deposit,Debit Card + Investment,0.054,0.2896995708154506,2.1301439030547837
Time Deposit,Debit Card + Investment + Savings Account,0.054,0.2896995708154506,2.1301439030547837
Debit Card + Time Deposit,Investment,0.054,0.39705882352941174,2.1210407239819005
Debit Card + Savings Account + Time Deposit,Investment,0.054,0.39705882352941174,2.1210407239819005
Debit Card + Time Deposit,Investment + Savings Account,0.054,0.39705882352941174,2.1210407239819005
Investment,Debit Card + Time Deposit,0.054,0.28846153846153844,2.1210407239819
Investment + Savings Account,Debit Card + Time Deposit,0.054,0.28846153846153844,2.1210407239819
Investment,Debit Card + Savings Account + Time Deposit,0.054,0.28846153846153844,2.1210407239819
Investment,Insurance,0.0656,0.35042735042735046,1.6655292320691562
Investment + Savings Account,Insurance,0.0656,0.35042735042735046,1.6655292320691562
Investment,Insurance + Savings Account,0.0656,0.35042735042735046,1.6655292320691562
Insurance,Investment,0.0656,0.311787072243346,1.665529232069156
Insurance + Savings Account,Investment,0.0656,0.311787072243346,1.665529232069156
Insurance,Investment + Savings Account,0.0656,0.311787072243346,1.665529232069156
Savings Account + Time Deposit,Insurance,0.0616,0.33047210300429186,1.5706849002105125
Time Deposit,Insurance + Savings Account,0.0616,0.33047210300429186,1.5706849002105125
