Antecedent,Consequent,Support,Confidence,Lift
Time Deposit,Investment,0.0784,0.42060085836909866,2.246799457099886
Investment,Time Deposit,0.0784,0.41880341880341876,2.2467994570998857
Investment,Insurance,0.0656,0.35042735042735046,1.6655292320691562
Insurance,Investment,0.0656,0.311787072243346,1.665529232069156
Time Deposit,Insurance,0.0616,0.33047210300429186,1.5706849002105125
Insurance,Time Deposit,0.0616,0.29277566539923955,1.5706849002105125
Personal Loan,Credit Card,0.16,0.6504065040650406,1.386203120343224
Credit Card,Personal Loan,0.16,0.3410059676044331,1.386203120343224
Personal Loan,Mortgage,0.0508,0.20650406504065041,1.3271469475620208
Mortgage,Personal Loan,0.0508,0.3264781491002571,1.3271469475620206
Mortgage,Credit Card,0.0876,0.5629820051413882,1.1998763962945187
Credit Card,Mortgage,0.0876,0.1867007672634271,1.1998763962945187
Time Deposit,Credit Card,0.0988,0.5300429184549356,1.1296737392475182
Credit Card,Time Deposit,0.0988,0.21057118499573743,1.1296737392475182
E-Wallet,Mobile Banking,0.2876,0.7648936170212767,1.120887480980769
Mobile Banking,E-Wallet,0.2876,0.4214536928487691,1.120887480980769
Investment,Credit Card,0.098,0.5235042735042735,1.1157380083211286
Credit Card,Investment,0.098,0.20886615515771526,1.1157380083211286
