Lead_ID,Age,Monthly_Income,Account_Tenure_Months,Product_Count,Monthly_Transactions,Digital_Engagement,Balance,Credit_Utilization,Recent_Application,Segment,Converted,Conversion_Probability
L00001,25,18604537,44,1,23,52,27219336.916022558,0.23453954908096952,0,Mass,0,0.13575993199314276
L00002,55,42765670,111,5,18,21,3144224.03634256,0.8493690816437983,0,Mass,1,0.29405475143241655
L00003,50,5622935,52,2,16,54,20386137.513414193,0.06798731752774932,0,Mass,0,0.09494248621949891
L00004,40,24533916,48,4,23,18,22015512.0978659,0.8421102586494486,1,Mass,0,0.1345465846989826
L00005,40,40844195,180,5,22,95,15388037.309826978,0.08728223750334922,0,Mass,1,0.5090516282229903
L00006,59,47836857,32,4,17,58,8482787.79758647,0.7941513474621291,1,Mass,0,0.5589825594368043
L00007,24,15565209,35,5,19,29,10437646.825924404,0.43317251279742774,1,Affluent,0,0.813149080968637
L00008,52,33936551,168,1,20,66,7911641.591311573,0.11948499915572681,0,Affluent,0,0.4847364582746681
L00009,30,12725512,100,1,21,58,4773005.750129286,0.7691046864732171,0,Mass,0,0.08956364623212465
L00010,25,9331347,8,4,18,56,58793895.79882272,0.2807957377387034,0,Affluent,1,0.26202122906475267
L00011,44,20239029,77,3,17,63,36247267.39063218,0.8402252473588091,1,Mass,1,0.40089428637939495
L00012,64,44714277,102,1,26,94,11281009.745616319,0.7270318887868804,0,Mass,1,0.19008862038242133
L00013,54,35715877,46,4,20,87,21332431.267678384,0.9335934256705667,0,Mass,0,0.5432202367248465
L00014,55,26506198,99,1,25,33,22148086.211967085,0.7986856015678119,0,Mass,0,0.19343039676416401
L00015,53,17009647,117,5,19,31,156168219.93427876,0.26686526310224346,0,Mass,1,0.29245989653447985
L00016,56,10515392,46,1,19,100,35895749.2078807,0.4182936803242458,0,Affluent,0,0.15713475947761796
L00017,44,16455185,147,3,16,68,34564246.85182499,0.6769672713512473,1,Mass,0,0.47361642685835265
L00018,26,11023746,82,5,23,11,15580672.66121746,0.33445846064706,0,Affluent,0,0.17688739405808176
L00019,58,12605942,174,3,21,58,9714564.387831993,0.5418532567837822,0,Mass,0,0.25667291289097566
L00020,41,35626561,16,4,17,20,59785338.40751024,0.2638824069393917,0,Mass,1,0.2784631732646374
L00021,43,10104133,59,4,26,12,28798471.668516498,0.6466557749779644,0,Affluent,0,0.07961774698353667
L00022,37,6179135,130,5,16,26,6543735.940186498,0.3579205831451774,0,Affluent,1,0.2388964101927193
L00023,29,28947658,162,3,15,33,23615818.323377308,0.09966023450337051,0,Mass,0,0.15426552503517715
L00024,62,17183313,40,5,19,17,34654801.57134282,0.9209966561117727,1,Affluent,0,0.1968142740460125
L00025,56,24917359,177,3,20,86,1844520.3020708764,0.8095132119935666,0,Mass,0,0.36773662076256664
L00026,49,10430229,35,5,20,49,5963534.895408775,0.3233450953479347,0,Affluent,1,0.47650388674531946
L00027,39,13658979,75,4,21,60,21559467.06713126,0.16666232017103896,1,Affluent,1,0.4934079631579845
L00028,58,24289561,57,1,21,88,2189315.411067408,0.7117035559387827,0,Mass,1,0.1673837618757543
L00029,45,35741036,77,4,15,86,2564898.829659343,0.24860550359963723,1,Mass,0,0.44431795733532525
L00030,40,23060273,163,5,13,84,11445406.388302468,0.5949086663591843,0,Priority,1,0.3892541649681371
L00031,41,28918944,132,1,11,27,24522583.296718236,0.751171215508678,0,Mass,0,0.03860832470570139
L00032,31,28006315,144,5,26,77,25683118.490716673,0.2951814770449255,0,Affluent,0,0.5528197780728713
L00033,25,16367579,46,1,20,100,72999292.82653064,0.3061729716125802,0,Mass,0,0.14817646960466832
L00034,45,16863271,171,5,28,10,16286134.294042792,0.10545139819870007,1,Mass,0,0.35116052634204603
L00035,60,23583305,79,4,15,88,10333565.131454548,0.3378633417795086,1,Mass,1,0.25941802182236134
L00036,23,5474005,118,1,23,88,4058001.51583915,0.5877059616183451,0,Affluent,0,0.15172423171277105
L00037,59,35528171,126,4,25,86,10210561.080426952,0.19021714346609891,0,Mass,0,0.6176574256113816
L00038,58,32261760,120,1,21,46,30434581.43498126,0.9077745148674453,0,Mass,0,0.1897265652761736
L00039,33,18082117,109,3,17,28,31841561.58693516,0.7001741600184693,0,Mass,0,0.052958165500703036
L00040,49,21191028,87,5,23,76,19544017.07902558,0.23351079854258272,0,Affluent,0,0.4140917361347777
L00041,28,19120238,117,2,29,66,25923895.15918665,0.5275550052108454,0,Mass,1,0.3101523673493941
L00042,55,33961409,163,1,18,76,53754842.72598034,0.4022967956743222,0,Mass,0,0.2490791194782323
L00043,52,38947128,71,3,23,33,16172658.091588171,0.3941178413798089,0,Mass,1,0.25066946154303393
L00044,36,8998680,92,2,21,26,58872202.71007655,0.5539893797175955,0,Mass,1,0.179503063372445
L00045,24,23012670,33,1,18,92,7252914.3093689885,0.14733559308945532,0,Mass,0,0.3785647355099874
L00046,64,4633758,64,3,23,56,13939954.7122106,0.2437822632662629,0,Mass,0,0.1451113775111347
L00047,41,24803496,139,2,19,87,9274020.26623951,0.18471227419980368,0,Affluent,1,0.4728850120661964
L00048,61,15421535,116,1,25,94,33140474.596128758,0.2065812749213109,0,Priority,1,0.43756508669066285
L00049,51,19446956,39,2,19,51,5438839.737167545,0.6396957032409827,0,Mass,0,0.4639870006194003
L00050,56,25001176,99,1,18,33,10873022.546092505,0.9465483989821325,0,Mass,1,0.12939395898050818
L00051,55,18891295,147,5,17,91,2335845.0005950374,0.6359955037626621,1,Priority,0,0.6121908622815653
L00052,29,22127310,23,5,18,75,27178501.82394751,0.9362511698507568,0,Mass,1,0.3335338976607184
L00053,37,39179452,12,2,21,70,52187368.185846314,0.5693066200308151,0,Mass,0,0.2962533128481297
L00054,42,41273917,71,5,16,97,37291229.03196296,0.30497775763109625,0,Affluent,0,0.5154330411399353
L00055,43,4269707,119,3,13,32,33807335.80435624,0.8350743473933918,1,Mass,0,0.2260416891942541
L00056,22,21380531,57,5,20,42,34724677.352138706,0.11047198566269523,0,Mass,1,0.43283433129101645
L00057,45,42956766,148,1,26,13,30197043.72047293,0.14218514457256293,0,Priority,1,0.7285965497368203
L00058,27,28400294,153,2,16,45,27728085.697260827,0.902861967989165,0,Mass,0,0.27886073005014234
L00059,54,13442902,96,4,18,50,29576012.927569125,0.6351666794183817,0,Affluent,0,0.4145531077524317
L00060,51,31301717,69,2,21,51,7786317.846629254,0.8860658215108421,1,Mass,1,0.38611712632824674
L00061,62,10666729,8,5,16,23,12278585.853553887,0.1695978681000101,1,Mass,0,0.22128932505965992
L00062,54,5004244,148,3,22,83,16091536.681351451,0.7414348582018938,1,Affluent,0,0.20548752927928912
L00063,37,33091576,162,3,23,54,10722507.773748823,0.2613294055280048,0,Priority,0,0.318415522957257
L00064,64,27696135,80,3,20,49,3132215.448102288,0.3590187658703193,0,Affluent,0,0.48366945281956253
L00065,39,38799069,93,4,27,88,4362482.230176499,0.8590922387911731,0,Mass,1,0.6372580597667103
L00066,35,19862237,136,1,21,54,18878549.22985186,0.4201298143489139,1,Affluent,1,0.4934685251156299
L00067,61,43297027,126,4,18,91,37107759.913245045,0.6534829372520796,0,Mass,0,0.4256149098980715
L00068,37,23378885,25,4,24,30,15140785.214865878,0.8485484488176612,0,Mass,1,0.44172165566982013
L00069,24,37948899,122,5,28,87,238143173.69706187,0.833786535534632,1,Affluent,1,0.5840118892015606
L00070,42,8613220,167,5,19,99,5979205.926573168,0.05801652844098453,1,Mass,1,0.35482256828547354
L00071,56,8469004,136,4,24,78,23405998.675579358,0.1923937481081192,0,Mass,0,0.40412868311586775
L00072,29,40009746,87,3,25,91,54557370.17407093,0.8767594752220987,0,Affluent,1,0.6836374889440495
L00073,41,42363358,95,3,20,77,43542058.0303663,0.5561742814900349,0,Affluent,0,0.3437090716797312
L00074,26,47350595,47,2,16,64,28879068.60187101,0.48217998999168515,0,Mass,0,0.14727518385797395
L00075,51,18932625,119,5,16,79,43741800.362140775,0.10873207244331251,0,Mass,0,0.45231656835221423
L00076,42,5024365,44,2,21,97,15854360.117314667,0.07254701684370615,0,Affluent,0,0.5728361393919513
L00077,35,49075609,62,3,18,65,79117330.42612669,0.9080732633159311,0,Mass,0,0.06069075829696583
L00078,31,31663147,48,1,18,72,54120297.88562804,0.47646597425444764,1,Mass,1,0.5537579167520564
L00079,46,15367592,61,2,31,17,6396958.227238057,0.7577755839541453,1,Mass,0,0.08041768446212726
L00080,51,39136827,67,2,21,97,20689330.626826715,0.24800125401452727,1,Mass,1,0.6814123319179335
L00081,63,45579210,15,3,21,80,3192338.0251218006,0.2633647572429849,1,Mass,1,0.24119740877048756
L00082,40,17101149,130,3,25,24,68706181.56811997,0.5542297883547858,0,Priority,0,0.13152840546227498
L00083,28,39404755,80,4,24,36,18770409.03157852,0.8384232524435745,0,Affluent,0,0.4324589607189733
L00084,58,40227556,171,3,28,30,57790421.570314504,0.309721942044136,0,Mass,0,0.535118485511895
L00085,49,27077465,33,1,14,39,13446148.340956485,0.34591998538023916,0,Mass,0,0.21761744395858307
L00086,52,33088332,121,3,22,90,2343821.465777787,0.5455654755977041,0,Affluent,1,0.8298678926268135
L00087,25,16397914,33,1,21,52,209645444.05214977,0.0860050145909562,0,Mass,0,0.17859668087783637
L00088,35,46741481,99,5,20,48,17101030.90082579,0.3908859334207446,1,Affluent,1,0.4110568358295329
L00089,55,49222775,89,4,18,80,5517040.513742365,0.5506546006775265,0,Mass,1,0.40722603555017994
L00090,58,49126221,81,2,18,43,47172565.74970681,0.05434412203070902,0,Affluent,1,0.42129449745634606
L00091,40,37907750,118,2,15,90,114882226.05667976,0.6242031654493642,1,Mass,1,0.5272911395765933
L00092,57,5947921,150,1,12,78,12251054.643663427,0.09586488033926888,0,Affluent,0,0.2327359002293806
L00093,58,20856937,58,2,10,33,13582847.593277363,0.697963027758548,0,Affluent,1,0.2842679159230624
L00094,38,48152747,153,1,14,67,19031517.788768496,0.7715106148282941,0,Mass,0,0.3749368883268774
L00095,61,29161438,34,5,25,53,4938588.539130678,0.8049152820265885,0,Priority,1,0.6904591494471226
L00096,33,28663772,53,1,16,41,7518621.060407653,0.656049296142091,0,Mass,0,0.14146443534640846
