Account_ID,Degree,In_Degree,Out_Degree,Outgoing_Tx,Total_Outgoing,Avg_Outgoing,Unique_Beneficiaries,Fraudulent_Outgoing,Incoming_Tx,Total_Incoming,Unique_Senders,Fraud_Rate,Degree_Centrality,PageRank,Fraud_Account,Fraud_Risk_Score,Community
A01055,21,10,11,11.0,25842000.0,2349272.727272727,11.0,1.0,10.0,38795000.0,10.0,0.09090909090909091,0.01751459549624687,0.001671193472683393,1,0.9538860719270775,1
A00528,19,10,9,9.0,15244000.0,1693777.7777777778,9.0,0.0,10.0,20368000.0,10.0,0.0,0.0158465387823186,0.0013131271945242898,0,0.049412785640252505,0
A00574,10,3,7,7.0,21361000.0,3051571.4285714286,7.0,0.0,3.0,2148000.0,3.0,0.0,0.008340283569641367,0.0004826443654623901,0,0.2760491401028561,1
A00355,13,6,7,7.0,37141000.0,5305857.142857143,7.0,0.0,6.0,11219000.0,6.0,0.0,0.010842368640533777,0.0006754429348066314,0,0.38693955297048904,0
A01182,17,6,11,11.0,35985000.0,3271363.6363636362,11.0,1.0,6.0,12599000.0,6.0,0.09090909090909091,0.014178482068390324,0.0007139569884899656,1,0.8562048642442547,0
A00153,15,8,7,7.0,18031000.0,2575857.1428571427,7.0,0.0,8.0,10010000.0,8.0,0.0,0.012510425354462052,0.001000860562707756,0,0.329997696806689,0
A00914,9,3,6,7.0,14017000.0,2002428.5714285714,6.0,0.0,3.0,6693000.0,3.0,0.0,0.007506255212677231,0.0003771815626534489,0,0.5981422845957683,0
A00791,17,8,9,9.0,8219000.0,913222.2222222222,9.0,0.0,9.0,26721000.0,8.0,0.0,0.014178482068390324,0.0017485555338573365,0,0.10848380515903272,0
A00782,15,9,6,6.0,6692000.0,1115333.3333333333,6.0,0.0,10.0,13038000.0,9.0,0.0,0.012510425354462052,0.001180664312122468,0,0.4035871144534127,2
A00108,9,4,5,5.0,7145000.0,1429000.0,5.0,0.0,4.0,8459000.0,4.0,0.0,0.007506255212677231,0.0005922806226366534,0,0.26785796856869043,2
A01084,12,5,7,7.0,13903000.0,1986142.857142857,7.0,0.0,5.0,13212000.0,5.0,0.0,0.010008340283569641,0.0008973430508623147,0,0.27639382909002413,4
A00755,11,4,7,7.0,20266000.0,2895142.8571428573,7.0,0.0,4.0,4860000.0,4.0,0.0,0.009174311926605505,0.000549322493140371,0,0.24887439901643774,4
A00619,11,5,6,6.0,7276000.0,1212666.6666666667,6.0,0.0,5.0,5397000.0,5.0,0.0,0.009174311926605505,0.0008217649488118736,0,0.45452375525814376,1
A00566,12,5,7,7.0,10813000.0,1544714.2857142857,7.0,0.0,5.0,3186000.0,5.0,0.0,0.010008340283569641,0.0007474130165985073,0,0.3281840374824254,1
A00865,8,5,3,3.0,3104000.0,1034666.6666666666,3.0,0.0,5.0,7415000.0,5.0,0.0,0.006672226855713094,0.0010720892396257958,0,0.07457102895965559,2
A00368,8,5,3,3.0,8885000.0,2961666.6666666665,3.0,0.0,5.0,4060000.0,5.0,0.0,0.006672226855713094,0.0007424141633946038,0,0.14191334001872172,2
A00342,17,8,9,9.0,10683000.0,1187000.0,9.0,0.0,8.0,22841000.0,8.0,0.0,0.014178482068390324,0.0011339417515471018,0,0.06947277470781835,2
A00377,8,5,3,3.0,3370000.0,1123333.3333333333,3.0,0.0,6.0,7569000.0,5.0,0.0,0.006672226855713094,0.0006320244612253648,0,0.17730597786397556,4
A01156,9,5,4,5.0,3094000.0,618800.0,4.0,0.0,5.0,3532000.0,5.0,0.0,0.007506255212677231,0.0008229037049147037,0,0.20796190899369432,2
A01089,10,6,4,4.0,2944000.0,736000.0,4.0,0.0,7.0,21937000.0,6.0,0.0,0.008340283569641367,0.0010253315985883729,0,0.01539291055500323,2
A00749,11,7,4,4.0,8756000.0,2189000.0,4.0,0.0,7.0,16101000.0,7.0,0.0,0.009174311926605505,0.001110017708585139,0,0.05102499694237138,2
A00811,10,7,3,3.0,2772000.0,924000.0,3.0,0.0,7.0,6959000.0,7.0,0.0,0.008340283569641367,0.000995053969293537,0,0.02979953943769152,1
A00939,11,6,5,5.0,7831000.0,1566200.0,5.0,0.0,6.0,6425000.0,6.0,0.0,0.009174311926605505,0.0006959332967594964,0,0.11633462195242461,3
A01100,10,6,4,4.0,13644000.0,3411000.0,4.0,0.0,6.0,10313000.0,6.0,0.0,0.008340283569641367,0.0007771417770000865,0,0.2657710489939314,3
A00553,12,8,4,4.0,8330000.0,2082500.0,4.0,0.0,8.0,14346000.0,8.0,0.0,0.010008340283569641,0.0014614294325020155,0,0.03196372363300901,0
A01155,11,4,7,7.0,25032000.0,3576000.0,7.0,0.0,4.0,6189000.0,4.0,0.0,0.009174311926605505,0.0006534148296544671,0,0.25834504041354106,2
A01041,10,1,9,10.0,18942000.0,1894200.0,9.0,1.0,1.0,340000.0,1.0,0.1,0.008340283569641367,0.00018326092820622892,1,0.8412927185744009,3
A00866,16,10,6,6.0,7731000.0,1288500.0,6.0,0.0,10.0,22564000.0,10.0,0.0,0.013344453711426188,0.0011931024578749705,0,0.14102564762928044,0
A00090,10,6,4,4.0,8927000.0,2231750.0,4.0,0.0,6.0,14170000.0,6.0,0.0,0.008340283569641367,0.0012278525000247974,0,0.14351744344501738,2
A00734,14,8,6,6.0,14340000.0,2390000.0,6.0,0.0,8.0,37737000.0,8.0,0.0,0.011676396997497914,0.0011470105417673323,0,0.30669362017872775,2
A00137,10,1,9,9.0,21822000.0,2424666.6666666665,9.0,0.0,1.0,1024000.0,1.0,0.0,0.008340283569641367,0.00032868409037188726,0,0.47195843881074806,2
A00242,8,4,4,4.0,5777000.0,1444250.0,4.0,0.0,4.0,3460000.0,4.0,0.0,0.006672226855713094,0.0006026829744368897,0,0.17229716200558026,3
A00609,16,8,8,8.0,21411000.0,2676375.0,8.0,0.0,8.0,6840000.0,8.0,0.0,0.013344453711426188,0.000999107781032678,0,0.21747445197766377,0
A00708,16,9,7,7.0,4938000.0,705428.5714285715,7.0,0.0,9.0,20651000.0,9.0,0.0,0.013344453711426188,0.0011888072148211423,0,0.20043375189504836,4
A00879,10,7,3,3.0,16339000.0,5446333.333333333,3.0,0.0,7.0,14587000.0,7.0,0.0,0.008340283569641367,0.0011956721619849448,0,0.02589704935075589,4
A01099,17,10,7,7.0,22771000.0,3253000.0,7.0,0.0,10.0,23819000.0,10.0,0.0,0.014178482068390324,0.0017088249797098845,0,0.14815593155697088,1
A00972,9,4,5,5.0,8780000.0,1756000.0,5.0,0.0,4.0,9085000.0,4.0,0.0,0.007506255212677231,0.0007677480064332252,0,0.3158152364755271,3
A00588,17,11,6,6.0,13135000.0,2189166.6666666665,6.0,1.0,11.0,28504000.0,11.0,0.16666666666666666,0.014178482068390324,0.0013919677618716938,1,0.17540523494757454,0
A00529,10,4,6,6.0,16851000.0,2808500.0,6.0,0.0,4.0,4799000.0,4.0,0.0,0.008340283569641367,0.0007905352052315975,0,0.3242520842409743,5
A01042,12,7,5,5.0,14990000.0,2998000.0,5.0,1.0,8.0,24017000.0,7.0,0.2,0.010008340283569641,0.0012138553512974408,1,0.019019801362786436,5
A00780,9,2,7,7.0,17463000.0,2494714.285714286,7.0,0.0,2.0,13471000.0,2.0,0.0,0.007506255212677231,0.0004538719022584765,0,0.5233962746493606,5
A00378,21,9,12,12.0,44187000.0,3682250.0,12.0,0.0,9.0,12507000.0,9.0,0.0,0.01751459549624687,0.001188019985719091,0,0.16786605355896975,3
A00664,14,7,7,7.0,19913000.0,2844714.285714286,7.0,0.0,7.0,4622000.0,7.0,0.0,0.011676396997497914,0.0017475161720269985,0,0.17922581033079746,1
A00386,16,8,8,8.0,24995000.0,3124375.0,8.0,0.0,8.0,14227000.0,8.0,0.0,0.013344453711426188,0.001158113684140636,0,0.20326275557412027,0
A01154,13,6,7,7.0,15077000.0,2153857.1428571427,7.0,0.0,6.0,9800000.0,6.0,0.0,0.010842368640533777,0.0007187477288521187,0,0.4390260759918318,5
A00742,11,5,6,6.0,12591000.0,2098500.0,6.0,0.0,5.0,6362000.0,5.0,0.0,0.009174311926605505,0.0008890157301292343,0,0.3042139087055655,4
A00785,12,6,6,6.0,21135000.0,3522500.0,6.0,0.0,6.0,10250000.0,6.0,0.0,0.010008340283569641,0.0009991337748140277,0,0.2163113751304164,1
A00994,7,4,3,3.0,20858000.0,6952666.666666667,3.0,0.0,4.0,4637000.0,4.0,0.0,0.005838198498748957,0.0004890322882942414,0,0.17095918874755808,1
A00501,10,4,6,6.0,10309000.0,1718166.6666666667,6.0,0.0,4.0,13680000.0,4.0,0.0,0.008340283569641367,0.00039497258861152687,0,0.3506462823604538,0
A01069,13,7,6,6.0,5591000.0,931833.3333333334,6.0,0.0,7.0,28228000.0,7.0,0.0,0.010842368640533777,0.0009083345296483548,0,0.14935761158771335,1
A01164,17,7,10,10.0,28173000.0,2817300.0,10.0,0.0,7.0,13243000.0,7.0,0.0,0.014178482068390324,0.0016004905078949034,0,0.1696823798342143,4
A00925,15,7,8,8.0,8011000.0,1001375.0,8.0,0.0,7.0,14518000.0,7.0,0.0,0.012510425354462052,0.000900147615035644,0,0.4526430168460154,1
A00129,14,6,8,8.0,18042000.0,2255250.0,8.0,0.0,6.0,10464000.0,6.0,0.0,0.011676396997497914,0.0008486168811104051,0,0.46243685910413035,4
