Account_ID,Degree,Out_Degree,Incoming_Tx,Outgoing_Tx,Fraud_Risk_Score,Risk_Rank
A00912,14,11,3.0,11.0,0.9629893925055868,1
A00218,8,6,2.0,6.0,0.9566051213943255,2
A00117,12,9,3.0,9.0,0.9548001388950854,3
A01055,21,11,10.0,11.0,0.9538860719270775,4
A00330,12,8,4.0,8.0,0.9425286051207568,5
A00373,8,6,2.0,6.0,0.9313071444019786,6
A00987,10,7,3.0,7.0,0.9281260457885484,7
A00809,8,6,2.0,6.0,0.9108298378921824,8
A00425,3,2,1.0,2.0,0.9069969336530971,9
A00660,10,3,7.0,3.0,0.9036875054189951,10
A01161,14,6,8.0,6.0,0.8949914800410949,11
A00412,14,7,7.0,7.0,0.882414158509562,12
A00284,12,7,5.0,7.0,0.8822081013162212,13
A00017,10,4,6.0,4.0,0.8733033436950107,14
A00642,13,6,7.0,6.0,0.8666970380354952,15
A00980,16,10,7.0,11.0,0.8576300245274867,16
A01182,17,11,6.0,11.0,0.8562048642442547,17
A00513,6,2,4.0,2.0,0.8446484507736812,18
A01041,10,9,1.0,10.0,0.8412927185744009,19
A00114,9,5,4.0,5.0,0.838841547232039,20
A00985,6,3,3.0,3.0,0.8294470010914828,21
A00713,16,7,9.0,7.0,0.8275065839669028,22
A00885,6,4,2.0,4.0,0.826511965406132,23
A00239,15,6,10.0,6.0,0.8263087958397527,24
A00682,16,8,8.0,8.0,0.8231124452035291,25
A00228,14,7,7.0,8.0,0.819414309988272,26
A00259,13,9,4.0,9.0,0.8186602101739251,27
A00383,10,5,5.0,5.0,0.7990504602935737,28
A00256,8,4,4.0,4.0,0.7979472140926986,29
A00371,10,5,5.0,5.0,0.7965399127138231,30
A01024,7,2,5.0,2.0,0.7892227275360578,31
A00376,9,6,3.0,6.0,0.7857205169997505,32
A00882,11,8,3.0,8.0,0.7775364505187681,33
A00019,14,6,8.0,6.0,0.7758510489306242,34
A00154,16,9,7.0,9.0,0.7718086257910174,35
A00381,14,6,8.0,6.0,0.7656451365320415,36
A00448,9,7,2.0,7.0,0.7614496069334534,37
A01022,15,8,7.0,8.0,0.7548671164180859,38
A00291,11,7,4.0,7.0,0.7511461691452332,39
A00719,9,4,5.0,4.0,0.7500047405338313,40
A00057,12,8,4.0,8.0,0.7496666618288167,41
A01186,9,6,3.0,7.0,0.7455114585865905,42
A00423,11,7,4.0,7.0,0.7298859660452686,43
A00655,13,7,6.0,7.0,0.7283457069655993,44
A00082,13,6,7.0,6.0,0.7186812187900657,45
A00040,12,6,6.0,6.0,0.706970086883977,46
A00827,10,6,4.0,6.0,0.6940052030616645,47
A00165,11,6,5.0,6.0,0.6718350114507329,48
A00240,13,8,5.0,8.0,0.6276380047216744,49
A01065,10,6,4.0,6.0,0.6054428441919311,50
A01152,16,9,7.0,9.0,0.6036651530416101,51
A00235,10,6,4.0,7.0,0.6002176189415984,52
A00914,9,6,3.0,7.0,0.5981422845957683,53
A00959,12,9,3.0,9.0,0.5866790157782225,54
A00999,13,6,7.0,6.0,0.584090249531432,55
A00768,14,6,8.0,6.0,0.5635388010309962,56
A00118,11,8,3.0,9.0,0.554520505540742,57
A00120,9,6,3.0,6.0,0.5521283032438018,58
A00649,12,9,3.0,9.0,0.5474057399854669,59
A00976,10,7,3.0,7.0,0.5459907987528294,60
A00511,15,7,8.0,7.0,0.5453478947835524,61
A01200,14,6,8.0,6.0,0.5447450284402673,62
A00798,10,5,5.0,5.0,0.5413869028286339,63
A01135,10,6,4.0,6.0,0.5323005010604407,64
A00443,11,6,5.0,6.0,0.5311886125848192,65
A00232,9,7,2.0,7.0,0.5300121800099662,66
A00948,6,4,2.0,4.0,0.5291881298159796,67
A00080,11,7,4.0,7.0,0.5283759896032819,68
A00847,13,7,6.0,7.0,0.5265265319080876,69
A00780,9,7,2.0,7.0,0.5233962746493606,70
A00628,8,7,1.0,7.0,0.5223224651045271,71
A00944,10,5,5.0,5.0,0.5190997879344225,72
A00590,16,9,8.0,9.0,0.5143762449454918,73
A00158,12,8,4.0,8.0,0.5141259780932605,74
A00526,14,6,8.0,6.0,0.5120404100422935,75
A01010,9,6,3.0,6.0,0.5095429952146389,76
A00960,15,8,7.0,8.0,0.5088698487886897,77
A01096,10,7,3.0,7.0,0.5073657974950213,78
A00772,14,7,7.0,7.0,0.5063154187110854,79
A00186,16,7,9.0,7.0,0.5055661374117538,80
A00689,11,6,5.0,6.0,0.5037543103440049,81
A00352,15,7,8.0,7.0,0.5014500980229538,82
A01151,12,7,5.0,8.0,0.4988686431860699,83
A00956,13,6,7.0,6.0,0.49775918967889365,84
A00052,12,6,6.0,6.0,0.49629106622433106,85
A00100,9,6,3.0,6.0,0.4962514350872455,86
A00163,10,8,2.0,9.0,0.4961156960455957,87
