Uplift_Decile,count,mean,min,max
1,600,-0.14402518293683622,-0.5646483608538577,-0.05214321728316429
2,600,-0.020656310918544564,-0.052115995642218096,0.003809338151046976
3,600,0.024259350536254567,0.003835976515290551,0.0438755777866881
4,600,0.06103380212102304,0.04393133713729755,0.07769707129748085
5,600,0.0918408691451341,0.0777754222475098,0.10866430776731345
6,600,0.1266086876712068,0.10871313276547406,0.14539375852141936
7,600,0.16689127060550676,0.14539997414942463,0.18991289736888753
8,600,0.21614808614131173,0.18995721651370284,0.24129548297486428
9,600,0.2717999573227289,0.24130761465224712,0.30730157077511683
10,600,0.3658609593589182,0.3074263473998269,0.5465202132239427
