Customer_ID,Channel,Expected_Recovery,Cost,Net_Value
C00079,Field Agent,29598138.5185704,180000,29418138.5185704
C01043,Field Agent,27301858.916343596,180000,27121858.916343596
C02444,Field Agent,23948977.725538,180000,23768977.725538
C01570,Field Agent,20370916.412213396,180000,20190916.412213396
C00445,Field Agent,19612095.430759203,180000,19432095.430759203
C02033,Field Agent,19604205.015645,180000,19424205.015645
C01791,Field Agent,16928360.106948,180000,16748360.106948
C01794,Field Agent,16170933.446212998,180000,15990933.446212998
C00050,Field Agent,16007831.346671999,180000,15827831.346671999
C00614,Field Agent,15976568.3275424,180000,15796568.3275424
C00128,Field Agent,15870470.128565798,180000,15690470.128565798
C01057,Field Agent,15101369.354073597,180000,14921369.354073597
C01205,Field Agent,14328056.279086601,180000,14148056.279086601
C01554,Field Agent,14111079.660113,180000,13931079.660113
C01883,Field Agent,13576645.675821997,180000,13396645.675821997
C00922,Field Agent,12756455.627458798,180000,12576455.627458798
C01864,Field Agent,11734995.751679998,180000,11554995.751679998
C01142,Field Agent,11659427.47079923,180000,11479427.47079923
C01669,Field Agent,11489247.1320984,180000,11309247.1320984
C00978,Field Agent,10738640.0331678,180000,10558640.0331678
C00950,Field Agent,10711483.0031024,180000,10531483.0031024
C00364,Field Agent,10483318.18914,180000,10303318.18914
C00363,Field Agent,10389031.919692598,180000,10209031.919692598
C02056,Field Agent,10126986.387738599,180000,9946986.387738599
C00024,Field Agent,10061613.415285999,180000,9881613.415285999
C01300,Field Agent,9936624.505250998,180000,9756624.505250998
C02282,Field Agent,9787374.6316776,180000,9607374.6316776
C00618,Field Agent,9572026.640193399,180000,9392026.640193399
C02090,Field Agent,9443284.466406401,180000,9263284.466406401
C02471,Field Agent,9336043.746304,180000,9156043.746304
C01197,Field Agent,9306076.0584352,180000,9126076.0584352
C01521,Field Agent,9240519.217740798,180000,9060519.217740798
C02183,Field Agent,9054672.9667464,180000,8874672.9667464
C01516,Field Agent,9003277.7174366,180000,8823277.7174366
C00513,Field Agent,8984264.3775872,180000,8804264.3775872
C00479,Field Agent,8916989.7310974,180000,8736989.7310974
C00238,Field Agent,8775566.189395199,180000,8595566.189395199
C00936,Field Agent,8662275.36972,180000,8482275.36972
C00680,Field Agent,8611405.6870912,180000,8431405.6870912
C00795,Field Agent,8547789.776875598,180000,8367789.776875598
C02434,Field Agent,8543759.386994999,180000,8363759.386994999
C02264,Field Agent,8171921.9386214,180000,7991921.9386214
C00905,Field Agent,8055709.3627228,180000,7875709.3627228
C01870,Field Agent,7859347.091023999,180000,7679347.091023999
C00832,Field Agent,7834864.654454819,180000,7654864.654454819
C00944,Field Agent,7818931.092845599,180000,7638931.092845599
C01854,Field Agent,7773174.903123198,180000,7593174.903123198
C00967,Field Agent,7772048.4125304,180000,7592048.4125304
C02050,Field Agent,7622786.762909599,180000,7442786.762909599
C00548,Field Agent,7619456.250294199,180000,7439456.250294199
C00862,Field Agent,7312708.776910399,180000,7132708.776910399
C00823,Field Agent,7197293.4141612,180000,7017293.4141612
C01479,Field Agent,7072350.236261999,180000,6892350.236261999
C00323,Field Agent,7036230.833400399,180000,6856230.833400399
C00920,Field Agent,7003125.856847999,180000,6823125.856847999
C00649,Field Agent,6944065.715534999,180000,6764065.715534999
C02107,Field Agent,6917678.4159744,180000,6737678.4159744
C01939,Field Agent,6798645.821004075,180000,6618645.821004075
C00606,Field Agent,6776853.083865199,180000,6596853.083865199
C00355,Field Agent,6758766.146574386,180000,6578766.146574386
C02175,Field Agent,6700576.980983399,180000,6520576.980983399
C00211,Field Agent,6616338.3742595995,180000,6436338.3742595995
C02008,Field Agent,6559388.110763518,180000,6379388.110763518
C00620,Field Agent,6550083.9345864,180000,6370083.9345864
C00185,Field Agent,6309657.469708798,180000,6129657.469708798
C00763,Field Agent,6228252.9093406,180000,6048252.9093406
C00893,Field Agent,6155018.8569442,180000,5975018.8569442
C01920,Field Agent,6077857.368831599,180000,5897857.368831599
C01080,Field Agent,6013525.320691199,180000,5833525.320691199
C02398,Field Agent,5938704.050003999,180000,5758704.050003999
C00972,Field Agent,5903115.762027998,180000,5723115.762027998
C01487,Field Agent,5879252.331087,180000,5699252.331087
C02302,Field Agent,5859318.1568128,180000,5679318.1568128
C01906,Field Agent,5791060.288751365,180000,5611060.288751365
C01622,Field Agent,5753207.1092759995,180000,5573207.1092759995
C00588,Field Agent,5736279.8941938,180000,5556279.8941938
C00458,Field Agent,5720919.343199999,180000,5540919.343199999
C00057,Field Agent,5679223.321660199,180000,5499223.321660199
C02060,Field Agent,5639900.6935399985,180000,5459900.6935399985
C00021,Field Agent,5620889.223558399,180000,5440889.223558399
C00022,Field Agent,5580113.5196576,180000,5400113.5196576
C01721,Field Agent,5503750.194647399,180000,5323750.194647399
C00638,Field Agent,5475217.290496,180000,5295217.290496
C02239,Field Agent,5458735.211023998,180000,5278735.211023998
C01016,Field Agent,5367819.017824799,180000,5187819.017824799
C01615,Field Agent,5334719.5606916,180000,5154719.5606916
C01069,Field Agent,5313262.642521599,180000,5133262.642521599
C00775,Field Agent,5297048.739859399,180000,5117048.739859399
C00349,Field Agent,5231199.652448,180000,5051199.652448
C01424,Field Agent,5212994.595744,180000,5032994.595744
C01571,Field Agent,5187339.357515199,180000,5007339.357515199
C01962,Field Agent,5150956.5014740005,180000,4970956.5014740005
C01523,Field Agent,5039566.6174727995,180000,4859566.6174727995
C00468,Field Agent,4974955.0914024,180000,4794955.0914024
C01710,Field Agent,4953135.932312599,180000,4773135.932312599
C01856,Field Agent,4925802.310714399,180000,4745802.310714399
C00265,Field Agent,4855793.707859999,180000,4675793.707859999
C01541,Field Agent,4852615.3461342,180000,4672615.3461342
C01990,Field Agent,4851326.4849648,180000,4671326.4849648
C01438,Field Agent,4838328.344516399,180000,4658328.344516399
C01232,Field Agent,4829229.3568904,180000,4649229.3568904
C01240,Field Agent,4815805.631204999,180000,4635805.631204999
C00845,Field Agent,4793015.5115402555,180000,4613015.5115402555
C00895,Field Agent,4666065.023865599,180000,4486065.023865599
C01822,Field Agent,4608198.480044399,180000,4428198.480044399
C00674,Field Agent,4589839.323209999,180000,4409839.323209999
C00005,Field Agent,4546433.8514592,180000,4366433.8514592
C02249,Field Agent,4537273.1781768,180000,4357273.1781768
C00172,Field Agent,4521523.43989905,180000,4341523.43989905
C01853,Field Agent,4497400.627888,180000,4317400.627888
C00466,Field Agent,4489627.3576879995,180000,4309627.3576879995
C00214,Field Agent,4454862.3474698,180000,4274862.3474698
C01698,Field Agent,4452299.8140115,180000,4272299.8140115
C01119,Field Agent,4403122.522305998,180000,4223122.522305998
C01139,Field Agent,4397533.684312499,180000,4217533.684312499
C02043,Field Agent,4381558.892319799,180000,4201558.892319799
C02381,Field Agent,4379547.338622401,180000,4199547.338622401
C02018,Field Agent,4374674.307104,180000,4194674.307104
C00830,Field Agent,4360785.159786399,180000,4180785.1597863995
C01943,Field Agent,4354393.55481,180000,4174393.5548099997
C01520,Field Agent,4318961.406749,180000,4138961.406749
C01066,Field Agent,4297477.1725452,180000,4117477.1725452
