Loan_ID,Customer_Segment,Loan_Type,Loan_Amount,Interest_Rate,Tenor_Months,PD_Base,LGD_Base,Annual_Operating_Cost,EAD,Expected_Loss_Base,Expected_Interest_Income,Expected_Profit_Base,Maturity_Years
L00001,Affluent,Consumer,29224150.57321795,0.11376505968894254,24,0.08617834988862888,0.20762035803073817,1356272.3450701758,29224150.57321795,522889.6030943734,3324687.2343207845,1445525.2861562353,2.0
L00002,Mass,Mortgage,280156990.071033,0.10511104857601625,24,0.11363338256858288,0.15,7343251.363355951,280156990.071033,4775277.964800655,29447594.992266852,17329065.664110243,2.0
L00003,Affluent,Auto,291352941.114727,0.09558757796948501,12,0.04295804485509784,0.4027214943639217,2882051.35983705,291352941.114727,5040443.179996182,27849721.975442745,19927227.435609512,1.0
L00004,Affluent,Consumer,84075620.00083268,0.09497636654555211,24,0.19410165880199962,0.2196989804941286,2692449.2929606754,84075620.00083268,3585315.404803052,7985196.902743637,1707432.2049799096,2.0
L00005,Mass,Consumer,177407383.67419738,0.08574365760347943,48,0.01,0.21917396672478665,2646129.5576517778,177407383.67419738,388830.80006139993,15211557.962089486,12176597.604376309,4.0
L00006,Priority,Mortgage,101968883.16546911,0.09787653157094044,36,0.10064074347901886,0.2703630215965284,3295546.711547446,101968883.16546911,2774525.946662382,9980360.612398574,3910287.954188746,3.0
L00007,Affluent,Auto,143871859.53094018,0.12480016983877384,24,0.04659822918599569,0.27368782909049616,3973946.3809805675,143871859.53094018,1834850.7961128575,17955232.504481547,12146435.32738812,2.0
L00008,Affluent,Mortgage,50756880.00576746,0.10940190833378695,60,0.043552128864343884,0.31191070755474337,2468775.8492127974,50756880.00576746,689500.5085574527,5552899.533699995,2394623.1759297447,5.0
L00009,Mass,Auto,191399182.95210725,0.1222546934539922,48,0.15018446183352682,0.15350149239216118,1342997.283230916,191399182.95210725,4412428.533646692,23399448.439154442,17644022.622276835,4.0
L00010,Mass,Consumer,35043944.115714654,0.11428923367814461,12,0.05755006441711963,0.5708764709494609,4194424.411933274,35043944.115714654,1151332.9577043196,4005145.518044753,-1340611.8515928406,1.0
L00011,Mass,Consumer,30418291.484462008,0.09397956827450725,24,0.11510590673332315,0.1556807833190581,1663019.6367372603,30418291.484462008,545089.022172601,2858697.90135786,650589.2424479986,2.0
L00012,Affluent,Mortgage,109513245.48580894,0.07531545705388362,60,0.09993757534196297,0.25307761225561165,1512715.3940604082,109513245.48580894,2769804.9465026716,8248040.137217858,3965519.796654778,5.0
L00013,Mass,Consumer,102417672.74079394,0.08831662143533167,48,0.09893394169201986,0.282078467076666,2421639.276577182,102417672.74079394,2858183.780064472,9045182.831736386,3765359.7750947317,4.0
L00014,Affluent,Auto,147189083.22866866,0.09291775540024465,60,0.10803553288475842,0.19823589923649246,1990507.864298734,147189083.22866866,3152278.0935424413,13676479.233027685,8533693.275186509,5.0
L00015,Mass,Consumer,73726413.35154226,0.09152550833475012,12,0.02605081361281699,0.15,3023150.8127480596,73726413.35154226,288094.95788437943,6747847.459697814,3436601.6890653744,1.0
L00016,Mass,Consumer,493617285.94270843,0.12265835868347497,48,0.09953470447431162,0.1971517253904125,3324592.9694471275,493617285.94270843,9686468.563475842,60546286.11152416,47535224.57860119,4.0
L00017,Mass,Mortgage,135361027.24534914,0.12247059240329464,12,0.11303626700269524,0.2970906965682219,1976359.2053995735,135361027.24534914,4545697.171041523,16577745.195056414,10055688.818615317,1.0
L00018,Mass,Mortgage,142901142.02326503,0.14481383352497962,36,0.12302037329449822,0.15,2656285.4939474193,142901142.02326503,2636962.7753868257,20694062.19148657,15400813.922152326,3.0
L00019,Affluent,Mortgage,139131169.11201218,0.09125301891853706,48,0.06463253895414832,0.15,1961338.9800923408,139131169.11201218,1348860.1061052484,12696139.207136625,9385940.120939037,4.0
L00020,Mass,Mortgage,254595024.74956313,0.13375406950915947,48,0.14370362415344798,0.32664248358743675,3668199.022969788,254595024.74956313,11950616.296685655,34053120.637039244,18434305.317383803,4.0
L00021,Affluent,Working Capital,184842628.00787446,0.13364280970195433,12,0.010442328361915889,0.483761743643047,3194458.047802925,184842628.00787446,933750.8303756486,24702888.1596655,20574679.281486925,1.0
L00022,Mass,Auto,167168981.74534094,0.10081925235530044,24,0.07280506754522197,0.15,3578819.2097716867,167168981.74534094,1825612.3511153287,16853851.75656214,11449420.195675123,2.0
L00023,Priority,Working Capital,208404274.6512816,0.11352399714492423,48,0.138888384934048,0.39357581613090065,2168853.293863824,208404274.6512816,11392025.675427774,23658886.280502096,10098007.311210498,4.0
L00024,Affluent,Mortgage,30539800.428048365,0.12733319848454178,24,0.07929912848865632,0.3442736626123015,2844691.0311706425,30539800.428048365,833754.9185279396,3888730.4695829763,210284.51988439402,2.0
L00025,Affluent,Mortgage,31417215.43211582,0.1039393567920793,36,0.018580789094680358,0.254160236978258,3226239.3960216823,31417215.43211582,148367.72948937214,3265485.164212306,-109121.96129874839,3.0
L00026,Mass,Mortgage,113346294.29229826,0.10254494801013643,24,0.05427763463316694,0.39899564163759865,3635403.2439292385,113346294.29229826,2454688.5173187307,11623089.855345348,5532998.094097378,2.0
L00027,Mass,Mortgage,103465304.13652073,0.09370792641988586,12,0.0751512331506624,0.37688771781959285,3482374.441403734,103465304.13652073,2930507.483033029,9695519.107036196,3282637.1825994323,1.0
L00028,Mass,Consumer,185369128.40662023,0.06251930666406547,60,0.12262477034755354,0.1876408192770611,2351094.179812569,185369128.40662023,4265234.716486162,11589149.38490402,4972820.488605289,5.0
L00029,Mass,Mortgage,121815111.95013028,0.10626848909679262,12,0.04951500402017079,0.210928542212443,1406969.7788224623,121815111.95013028,1272252.5747179394,12945107.896096993,10265885.542556591,1.0
L00030,Affluent,Consumer,185655061.44487315,0.09222235210583832,36,0.06800166311452638,0.3427561905227456,3212694.8212306844,185655061.44487315,4327246.500954507,17121546.44680014,9581605.124614947,3.0
L00031,Affluent,Consumer,47148174.45955682,0.0856437247748971,48,0.06603799829909025,0.2616844045420404,3133982.7526223487,47148174.45955682,814772.9900824665,4037945.277053117,89189.53434830159,4.0
L00032,Priority,Working Capital,119036874.51378563,0.11259944970259765,12,0.08222590028614533,0.28387275063588735,1442474.7471498724,119036874.51378563,2778522.1196025116,13403486.564569434,9182489.697817052,1.0
L00033,Mass,Consumer,43890556.775110774,0.07887637966522024,48,0.06579241573789461,0.5055460399160073,3817659.393398935,43890556.775110774,1459847.9887175842,3461928.219911542,-1815579.1622049774,4.0
L00034,Mass,Mortgage,160394305.6008418,0.11950943804305111,36,0.011425482479946273,0.3921072533677442,2703079.7284122575,160394305.6008418,718568.8234084249,19168633.32766201,15746984.775841327,3.0
L00035,Mass,Mortgage,29334900.807729512,0.11370478767468938,60,0.01,0.15,2343963.1525339186,29334900.807729512,44002.35121159427,3335518.6678009583,947553.1640554452,5.0
L00036,Mass,Consumer,155823556.1311158,0.09779652218944947,48,0.048193770631515614,0.15,2781592.169880601,155823556.1311158,1126458.7084755138,15239001.86481559,11330950.986459477,4.0
L00037,Mass,Working Capital,39874706.76049579,0.10386041544879973,48,0.09356087702165641,0.3591521784583982,3982171.065865994,39874706.76049579,1339893.5343244937,4141403.6100441557,-1180660.990146332,4.0
L00038,Mass,Consumer,90003260.53724909,0.08357602030522364,36,0.234302209033726,0.3179843174025338,5449640.054907736,90003260.53724909,6705641.444957297,7522114.330197463,-4633167.169667571,3.0
L00039,Mass,Working Capital,234789064.0725325,0.11850609486057676,60,0.13804716326236605,0.716905749846454,2433860.309993032,234789064.0725325,23236323.54198312,27823935.099205572,2153751.24722942,5.0
L00040,Mass,Auto,142312697.8724196,0.10837255633892277,48,0.16271446867216632,0.20625628751638442,2227990.197823552,142312697.8724196,4776139.69363108,15422790.867922887,8418660.976468256,4.0
L00041,Mass,Consumer,34926525.20266676,0.10971329918261179,36,0.024850697212810493,0.1940042202199948,3387806.8749591447,34926525.20266676,168385.6724199956,3831904.308969209,275711.7615900687,3.0
L00042,Affluent,Consumer,72471715.83020225,0.11403402683411634,12,0.10668653625302521,0.4268955984068072,1279243.671635797,72471715.83020225,3300652.7487476557,8264241.587695737,3684345.167312285,1.0
L00043,Affluent,Consumer,38918038.145048074,0.09343652254994897,12,0.08467412697571827,0.4695413866942227,3847610.5381099237,38918038.145048074,1547303.632892066,3636366.1487395586,-1758548.022262431,1.0
L00044,Mass,Consumer,33663792.9994516,0.07765695105142319,24,0.07998712049816671,0.22567611510667912,1269861.4477269833,33663792.9994516,607671.2748657345,2614227.5251636556,736694.8025709379,2.0
L00045,Affluent,Consumer,131070995.25119638,0.12223173074842734,24,0.05593800544518457,0.2521738095439418,1257481.6214193653,131070995.25119638,1848900.5571216869,16021034.600472635,12914652.421931583,2.0
L00046,Affluent,Working Capital,182676257.31522062,0.11739693144502333,60,0.14325421214597148,0.27643539009763074,5435429.039303939,182676257.31522062,7234077.342037581,21445632.056668397,8776125.675326876,5.0
L00047,Mass,Consumer,166992046.13006252,0.09536354154112317,60,0.15822335159189438,0.27300266983386257,882442.5611749475,166992046.13006252,7213287.797673466,15924952.928161373,7829222.56931296,5.0
L00048,Mass,Auto,188568597.6484092,0.11236398358434072,24,0.028639423172883087,0.1834699061914045,4806207.511620834,188568597.6484092,990828.4697697925,21188318.810688,15391282.829297375,2.0
L00049,Affluent,Consumer,118932797.25204872,0.1276435218969231,60,0.19924642918165653,0.15,5452930.109925058,118932797.25204872,3554540.274758496,15181001.110304195,6173530.725620642,5.0
L00050,Mass,Working Capital,97753507.31865838,0.1254966144555109,48,0.13378055874226,0.45667093646431095,2962615.4028749317,97753507.31865838,5972122.769860697,12267734.219643636,3332996.046908007,4.0
L00051,Mass,Consumer,53661175.30036798,0.09483794094422407,36,0.07291822874871212,0.2122508694904322,3384339.858090099,53661175.30036798,830511.7270348454,5089115.374133954,874263.7890090095,3.0
