Document_ID,Customer_ID,Document_Type,Document_Date,Image_Quality_Score,OCR_Confidence,Fields_Extracted,Expected_Fields,File_Size_KB,Status,Field_Completeness,Extracted_OCR_Confidence,Document_Confidence,Processing_Decision
DOC0000001,C000063,Rekening Koran,2026-02-12,0.95,0.985,8,11,3699,INVALID,0.7272727272727273,0.985,0.9118181818181819,Auto Process
DOC0000002,C000533,KTP,2026-02-20,0.758,0.98,9,8,4127,VALID,1.0,0.889,0.8976500000000001,Human Review
DOC0000003,C000315,Rekening Koran,2024-08-15,0.745,0.98,5,10,3526,NEEDS_REVIEW,0.5,0.98,0.80125,Human Review
DOC0000004,C000248,Form Aplikasi,2025-05-12,0.809,0.882,4,9,839,VALID,0.4444444444444444,0.781,0.7190111111111112,Reprocess / Reject
DOC0000005,C000645,Form Aplikasi,2026-01-14,0.799,0.845,10,7,2357,VALID,1.0,1.0,0.9265,Auto Process
DOC0000006,C000091,Slip Gaji,2025-09-21,0.938,0.969,9,6,1616,INVALID,1.0,0.9036666666666666,0.9461333333333333,Auto Process
DOC0000007,C000305,Slip Gaji,2026-03-15,0.886,0.98,10,7,4040,INVALID,1.0,0.98,0.9615,Auto Process
DOC0000008,C000006,NPWP,2025-05-20,0.685,0.884,8,6,767,VALID,1.0,1.0,0.90385,Auto Process
DOC0000009,C000308,Rekening Koran,2025-10-30,0.658,0.883,8,9,525,VALID,0.8888888888888888,0.883,0.8282222222222222,Human Review
DOC0000010,C000391,KTP,2026-09-19,0.805,0.979,10,6,1230,VALID,1.0,0.979,0.94075,Auto Process
DOC0000011,C000599,Slip Gaji,2024-10-08,0.943,0.876,11,9,2093,INVALID,1.0,0.876,0.92375,Auto Process
DOC0000012,C000285,KTP,2025-11-27,0.816,0.879,7,10,873,VALID,0.7,0.862,0.8125499999999999,Human Review
DOC0000013,C000656,Surat Kerja,2024-06-01,0.94,0.902,9,9,3067,VALID,1.0,0.902,0.9359999999999999,Auto Process
DOC0000014,C000253,KTP,2025-04-02,0.74,0.942,6,10,4848,VALID,0.6,0.9156666666666666,0.7967833333333333,Human Review
DOC0000015,C000183,Rekening Koran,2025-12-17,0.835,0.834,5,8,3543,VALID,0.625,0.9465,0.821375,Human Review
DOC0000016,C000142,Rekening Koran,2025-05-07,0.789,0.794,9,9,2205,VALID,1.0,0.794,0.84425,Human Review
DOC0000017,C000099,NPWP,2025-08-07,0.737,0.924,0,7,2510,VALID,0.0,0.924,0.64625,Reprocess / Reject
DOC0000018,C000462,KTP,2024-05-24,0.717,0.859,11,9,2279,VALID,1.0,0.92,0.8801,Human Review
DOC0000019,C000243,KTP,2024-03-05,0.684,0.829,4,7,2474,VALID,0.5714285714285714,0.952,0.7714071428571427,Human Review
DOC0000020,C000309,Rekening Koran,2026-07-26,0.604,0.931,8,9,4260,VALID,0.8888888888888888,0.931,0.8387222222222221,Human Review
DOC0000021,C000307,Surat Kerja,2024-11-11,0.879,0.897,4,9,3387,VALID,0.4444444444444444,0.986,0.810511111111111,Human Review
DOC0000022,C000171,Surat Kerja,2025-10-21,0.876,0.989,11,7,1243,VALID,1.0,0.989,0.9634999999999999,Auto Process
DOC0000023,C000027,Slip Gaji,2024-07-21,0.761,0.977,11,9,1511,VALID,1.0,0.9545,0.920875,Auto Process
DOC0000024,C000633,Form Aplikasi,2024-09-12,0.914,0.874,11,11,825,VALID,1.0,0.926,0.9337,Auto Process
DOC0000025,C000624,Form Aplikasi,2024-01-23,0.846,0.933,10,8,3335,VALID,1.0,0.9259999999999999,0.92555,Auto Process
DOC0000026,C000620,Surat Kerja,2024-04-04,0.882,0.812,4,6,412,VALID,0.6666666666666666,0.716,0.7595666666666666,Human Review
DOC0000027,C000581,KTP,2026-09-25,1.0,0.821,10,7,4861,VALID,1.0,0.821,0.9105,Auto Process
DOC0000028,C000304,KTP,2024-05-23,1.0,0.917,11,6,1538,VALID,1.0,0.879,0.9452,Auto Process
DOC0000029,C000354,NPWP,2024-03-25,0.755,0.883,9,10,724,VALID,0.9,0.883,0.85525,Human Review
DOC0000030,C000397,Slip Gaji,2026-07-16,0.821,0.99,6,11,2643,NEEDS_REVIEW,0.5454545454545454,1.0,0.8401136363636363,Human Review
DOC0000031,C000201,KTP,2025-12-24,0.889,0.924,5,10,2142,NEEDS_REVIEW,0.5,0.924,0.80925,Human Review
DOC0000032,C000117,Form Aplikasi,2025-08-19,0.826,0.793,10,6,3344,INVALID,1.0,0.924,0.89885,Human Review
DOC0000033,C000077,Surat Kerja,2026-07-22,0.602,0.897,10,10,3047,VALID,1.0,0.872,0.8402499999999999,Human Review
DOC0000034,C000084,Rekening Koran,2025-01-09,0.849,0.769,8,7,1401,VALID,1.0,0.874,0.8835,Human Review
DOC0000035,C000166,Surat Kerja,2024-12-23,1.0,0.816,5,7,4137,VALID,0.7142857142857143,0.909,0.8691214285714285,Human Review
DOC0000036,C000646,Form Aplikasi,2024-05-23,0.912,0.88,7,6,2738,VALID,1.0,0.841,0.90435,Auto Process
DOC0000037,C000015,KTP,2026-03-14,0.793,0.948,7,10,1644,VALID,0.7,0.948,0.84725,Human Review
DOC0000038,C000515,Form Aplikasi,2026-05-25,0.898,0.902,9,9,4748,VALID,1.0,0.835,0.9020499999999999,Auto Process
DOC0000039,C000291,Slip Gaji,2024-04-16,0.891,0.821,4,8,4630,VALID,0.5,0.9435,0.801125,Human Review
DOC0000040,C000586,Form Aplikasi,2026-04-23,0.727,0.872,9,9,3112,VALID,1.0,0.803,0.8436,Human Review
DOC0000041,C000545,Rekening Koran,2026-02-23,0.878,1.0,7,10,3226,VALID,0.7,0.817,0.83045,Human Review
DOC0000042,C000043,Rekening Koran,2024-05-19,0.899,1.0,8,8,3705,VALID,1.0,1.0,0.97475,Auto Process
DOC0000043,C000229,Surat Kerja,2026-05-04,0.82,1.0,7,10,1695,VALID,0.7,0.9325,0.856375,Human Review
DOC0000044,C000672,NPWP,2026-04-28,0.959,0.886,4,7,949,VALID,0.5714285714285714,0.886,0.8256071428571428,Human Review
DOC0000045,C000514,Surat Kerja,2025-09-13,0.837,1.0,9,9,495,NEEDS_REVIEW,1.0,1.0,0.95925,Auto Process
