Document_ID,Customer_ID,Document_Type,Document_Date,Image_Quality_Score,OCR_Confidence,Fields_Extracted,Expected_Fields,File_Size_KB,Status,Field_Completeness,Extracted_OCR_Confidence,Document_Confidence,Processing_Decision,Review_Reason
DOC0000002,C000533,KTP,2026-02-20,0.758,0.98,9,8,4127,VALID,1.0,0.889,0.8976500000000001,Human Review,Borderline confidence
DOC0000003,C000315,Rekening Koran,2024-08-15,0.745,0.98,5,10,3526,NEEDS_REVIEW,0.5,0.98,0.80125,Human Review,Low field completeness
DOC0000009,C000308,Rekening Koran,2025-10-30,0.658,0.883,8,9,525,VALID,0.8888888888888888,0.883,0.8282222222222222,Human Review,Poor image quality
DOC0000012,C000285,KTP,2025-11-27,0.816,0.879,7,10,873,VALID,0.7,0.862,0.8125499999999999,Human Review,Low field completeness
DOC0000014,C000253,KTP,2025-04-02,0.74,0.942,6,10,4848,VALID,0.6,0.9156666666666666,0.7967833333333333,Human Review,Low field completeness
DOC0000015,C000183,Rekening Koran,2025-12-17,0.835,0.834,5,8,3543,VALID,0.625,0.9465,0.821375,Human Review,Low field completeness
DOC0000016,C000142,Rekening Koran,2025-05-07,0.789,0.794,9,9,2205,VALID,1.0,0.794,0.84425,Human Review,Low OCR confidence
DOC0000018,C000462,KTP,2024-05-24,0.717,0.859,11,9,2279,VALID,1.0,0.92,0.8801,Human Review,Borderline confidence
DOC0000019,C000243,KTP,2024-03-05,0.684,0.829,4,7,2474,VALID,0.5714285714285714,0.952,0.7714071428571427,Human Review,Low field completeness
DOC0000020,C000309,Rekening Koran,2026-07-26,0.604,0.931,8,9,4260,VALID,0.8888888888888888,0.931,0.8387222222222221,Human Review,Poor image quality
DOC0000021,C000307,Surat Kerja,2024-11-11,0.879,0.897,4,9,3387,VALID,0.4444444444444444,0.986,0.810511111111111,Human Review,Low field completeness
DOC0000026,C000620,Surat Kerja,2024-04-04,0.882,0.812,4,6,412,VALID,0.6666666666666666,0.716,0.7595666666666666,Human Review,Low field completeness
DOC0000029,C000354,NPWP,2024-03-25,0.755,0.883,9,10,724,VALID,0.9,0.883,0.85525,Human Review,Borderline confidence
DOC0000030,C000397,Slip Gaji,2026-07-16,0.821,0.99,6,11,2643,NEEDS_REVIEW,0.5454545454545454,1.0,0.8401136363636363,Human Review,Low field completeness
DOC0000031,C000201,KTP,2025-12-24,0.889,0.924,5,10,2142,NEEDS_REVIEW,0.5,0.924,0.80925,Human Review,Low field completeness
DOC0000032,C000117,Form Aplikasi,2025-08-19,0.826,0.793,10,6,3344,INVALID,1.0,0.924,0.89885,Human Review,Borderline confidence
DOC0000033,C000077,Surat Kerja,2026-07-22,0.602,0.897,10,10,3047,VALID,1.0,0.872,0.8402499999999999,Human Review,Poor image quality
DOC0000034,C000084,Rekening Koran,2025-01-09,0.849,0.769,8,7,1401,VALID,1.0,0.874,0.8835,Human Review,Borderline confidence
DOC0000035,C000166,Surat Kerja,2024-12-23,1.0,0.816,5,7,4137,VALID,0.7142857142857143,0.909,0.8691214285714285,Human Review,Low field completeness
DOC0000037,C000015,KTP,2026-03-14,0.793,0.948,7,10,1644,VALID,0.7,0.948,0.84725,Human Review,Low field completeness
DOC0000039,C000291,Slip Gaji,2024-04-16,0.891,0.821,4,8,4630,VALID,0.5,0.9435,0.801125,Human Review,Low field completeness
DOC0000040,C000586,Form Aplikasi,2026-04-23,0.727,0.872,9,9,3112,VALID,1.0,0.803,0.8436,Human Review,Low OCR confidence
DOC0000041,C000545,Rekening Koran,2026-02-23,0.878,1.0,7,10,3226,VALID,0.7,0.817,0.83045,Human Review,Low field completeness
DOC0000043,C000229,Surat Kerja,2026-05-04,0.82,1.0,7,10,1695,VALID,0.7,0.9325,0.856375,Human Review,Low field completeness
DOC0000044,C000672,NPWP,2026-04-28,0.959,0.886,4,7,949,VALID,0.5714285714285714,0.886,0.8256071428571428,Human Review,Low field completeness
DOC0000049,C000082,NPWP,2025-12-31,0.962,0.864,6,10,4499,VALID,0.6,0.864,0.8225,Human Review,Low field completeness
DOC0000051,C000307,Surat Kerja,2025-09-04,0.771,0.844,7,6,1931,NEEDS_REVIEW,1.0,0.844,0.8647499999999999,Human Review,Low OCR confidence
DOC0000052,C000004,Form Aplikasi,2025-12-18,0.926,1.0,4,6,2432,VALID,0.6666666666666666,0.897,0.8621166666666666,Human Review,Low field completeness
DOC0000054,C000361,Surat Kerja,2026-07-07,0.69,0.725,9,7,3907,VALID,1.0,0.725,0.785,Human Review,Poor image quality
DOC0000055,C000585,Form Aplikasi,2025-11-11,0.781,0.921,11,11,222,VALID,1.0,0.871,0.88825,Human Review,Borderline confidence
DOC0000059,C000521,Form Aplikasi,2024-01-16,0.789,0.792,6,6,3572,NEEDS_REVIEW,1.0,0.86,0.86705,Human Review,Borderline confidence
DOC0000060,C000524,KTP,2025-09-03,0.735,0.948,7,10,2104,VALID,0.7,0.948,0.83275,Human Review,Low field completeness
DOC0000061,C000122,KTP,2024-09-11,0.732,0.858,9,11,2896,VALID,0.8181818181818182,0.9515,0.8492704545454546,Human Review,Borderline confidence
DOC0000062,C000174,Slip Gaji,2026-08-04,0.683,0.995,7,11,856,VALID,0.6363636363636364,0.995,0.8273409090909091,Human Review,Low field completeness
