Customer_ID,Age,Monthly_Income,Tenure_Months,Product_Count,Digital_Engagement,Balance,Prior_Monthly_Transactions,Segment,Treatment,Campaign_Name,Conversion,Propensity_True
C00001,25,21454163.0,100,6,52,9832455.0,31,Mass,1,Personal Loan Offer,0,0.6441203706648848
C00002,55,7921147.0,11,3,42,30903871.0,23,Mass,1,Personal Loan Offer,0,0.2184024838098478
C00003,50,3000000.0,178,4,26,10661096.0,26,Mass,1,Personal Loan Offer,0,0.2894675013643237
C00004,40,4540684.0,130,1,19,7236638.0,21,Affluent,0,Personal Loan Offer,0,0.3042785391374882
C00005,40,26227317.0,85,1,23,156224382.0,24,Mass,1,Personal Loan Offer,0,0.2061264923531306
C00006,59,9623581.0,45,3,96,7341177.0,21,Affluent,1,Personal Loan Offer,0,0.47139468812690316
C00007,24,7940753.0,51,5,45,5564532.0,22,Mass,1,Personal Loan Offer,1,0.3705884860922623
C00008,52,29617631.0,83,5,97,24790182.0,20,Priority,1,Personal Loan Offer,0,0.7973709859775135
C00009,30,24064666.0,13,6,40,26160581.0,24,Affluent,0,Personal Loan Offer,1,0.6830657310052342
C00010,25,12162451.0,68,2,38,38976715.0,27,Affluent,0,Personal Loan Offer,0,0.40807369423233897
C00011,44,10211708.0,41,2,54,147962717.0,19,Mass,0,Personal Loan Offer,0,0.6789335405307707
C00012,64,11159052.0,23,4,96,9194472.0,17,Mass,1,Personal Loan Offer,1,0.49495102539754426
C00013,54,13596959.0,25,4,61,11215485.0,22,Affluent,1,Personal Loan Offer,1,0.6176140331719108
C00014,55,28931549.0,64,1,13,99936778.0,26,Affluent,0,Personal Loan Offer,1,0.21091365259457562
C00015,53,15138842.0,71,3,34,51154785.0,30,Affluent,0,Personal Loan Offer,0,0.617321279804718
C00016,56,17889655.0,65,6,99,44514439.0,29,Mass,0,Personal Loan Offer,0,0.8251222621844179
C00017,44,22828396.0,125,1,24,11088002.0,16,Mass,0,Personal Loan Offer,0,0.32688095152253066
C00018,26,6306525.0,95,5,86,61659080.0,22,Mass,0,Personal Loan Offer,0,0.37261953214656834
C00019,58,18175612.0,37,3,94,44652714.0,26,Mass,1,Personal Loan Offer,0,0.663161599306791
C00020,41,10205164.0,176,4,29,24173803.0,25,Affluent,0,Personal Loan Offer,0,0.31316842012817614
C00021,43,3007335.0,132,4,60,11142922.0,21,Mass,1,Personal Loan Offer,1,0.4852362150874802
C00022,37,3722567.0,86,5,64,22251910.0,26,Mass,0,Personal Loan Offer,0,0.32199339776069813
C00023,29,6854751.0,11,4,82,103982141.0,19,Mass,1,Personal Loan Offer,0,0.5726893297977226
C00024,62,16072013.0,165,1,82,6697702.0,28,Affluent,1,Personal Loan Offer,0,0.4678233178794906
C00025,56,12775080.0,135,2,15,8988385.0,31,Mass,0,Personal Loan Offer,0,0.1892751973970808
C00026,49,13280653.0,85,6,39,10675270.0,26,Mass,0,Personal Loan Offer,0,0.5394867338900583
C00027,39,35090329.0,31,1,95,13262110.0,20,Affluent,1,Personal Loan Offer,1,0.5956494308882636
C00028,58,5970958.0,22,5,42,19687730.0,30,Affluent,0,Personal Loan Offer,0,0.46304005451265756
C00029,45,11820299.0,54,4,32,52159342.0,26,Mass,0,Personal Loan Offer,0,0.46142265165526686
C00030,40,14187286.0,43,1,67,31726313.0,25,Mass,0,Personal Loan Offer,1,0.6238167279055798
C00031,41,8004120.0,40,1,27,21254600.0,24,Mass,0,Personal Loan Offer,0,0.26894445115882487
C00032,31,12188420.0,75,6,23,26383155.0,32,Mass,0,Personal Loan Offer,1,0.2258349162626928
C00033,25,4977534.0,11,1,82,37327235.0,22,Mass,0,Personal Loan Offer,1,0.2441952422680682
C00034,45,26058788.0,60,1,20,3721126.0,24,Mass,0,Personal Loan Offer,0,0.2674717051454522
C00035,60,8248395.0,158,1,91,58400034.0,26,Mass,1,Personal Loan Offer,0,0.5957472026390849
C00036,23,36677986.0,157,4,32,8752325.0,18,Mass,1,Personal Loan Offer,1,0.4352080972588682
C00037,59,11787572.0,4,6,19,12835592.0,18,Affluent,1,Personal Loan Offer,1,0.4956965281970751
