Customer_ID,Age,Annual_Income,Average_Monthly_Balance,Monthly_Transactions,Digital_Transactions_Pct,Credit_Card_Count,Existing_Loan_Count,Investment_Balance,Tenure_Years,Monthly_Income
C00001,25,113800000.0,53800000.0,31,64.9,2,0,7800000.0,17.8,9500000.0
C00002,55,108800000.0,129900000.0,22,53.2,2,1,89900000.0,4.3,9100000.0
C00003,50,213700000.0,117900000.0,29,100.0,0,2,441200000.0,11.0,17800000.0
C00004,40,219700000.0,45300000.0,19,42.3,0,0,17200000.0,3.3,18300000.0
C00005,40,104300000.0,6200000.0,25,71.3,0,1,25600000.0,1.4,8700000.0
C00006,59,112200000.0,17600000.0,25,51.3,6,1,28300000.0,7.5,9400000.0
C00007,24,188500000.0,86100000.0,21,79.8,1,2,5000000.0,6.5,15700000.0
C00008,52,88800000.0,12000000.0,33,70.9,2,0,9800000.0,11.5,7400000.0
C00009,30,111700000.0,34100000.0,25,90.1,1,1,34900000.0,12.9,9300000.0
C00010,25,147100000.0,60000000.0,26,79.4,2,1,22500000.0,7.8,12300000.0
C00011,44,242100000.0,156900000.0,29,51.1,2,1,25500000.0,17.4,20200000.0
C00012,64,100400000.0,27600000.0,32,100.0,3,1,25700000.0,16.9,8400000.0
C00013,54,50800000.0,26000000.0,21,76.1,5,2,22000000.0,14.5,4200000.0
C00014,55,48800000.0,43000000.0,25,54.0,1,2,10800000.0,7.1,4100000.0
C00015,53,70000000.0,60600000.0,21,69.1,0,0,40300000.0,5.0,5800000.0
C00016,56,68000000.0,39500000.0,24,77.6,0,0,35900000.0,2.5,5700000.0
C00017,44,128600000.0,109800000.0,16,76.9,1,0,9500000.0,5.2,10700000.0
C00018,26,72800000.0,22800000.0,32,74.9,1,1,39500000.0,19.2,6100000.0
C00019,58,95100000.0,49800000.0,32,84.3,0,1,,8.5,7900000.0
C00020,41,91500000.0,65700000.0,28,82.4,2,3,51300000.0,8.4,7600000.0
C00021,43,109900000.0,32000000.0,25,48.0,1,3,23800000.0,9.5,9200000.0
C00022,37,289800000.0,91900000.0,24,100.0,1,1,38600000.0,13.0,24200000.0
C00023,29,201500000.0,51100000.0,21,100.0,1,1,30300000.0,18.4,16800000.0
C00024,62,141200000.0,88000000.0,30,81.0,0,0,23500000.0,2.5,11800000.0
C00025,56,108600000.0,53100000.0,30,,2,0,35800000.0,16.4,9000000.0
C00026,49,110300000.0,62000000.0,21,66.1,2,3,63100000.0,9.1,9200000.0
C00027,39,167700000.0,26300000.0,25,58.5,1,0,28500000.0,5.6,14000000.0
C00028,58,193000000.0,26300000.0,31,61.1,2,1,28000000.0,11.0,16100000.0
C00029,45,85000000.0,127400000.0,24,21.3,0,1,16900000.0,10.9,7100000.0
C00030,40,142800000.0,77200000.0,26,95.6,1,1,3400000.0,2.8,11900000.0
C00031,41,45800000.0,18900000.0,34,88.5,2,2,25900000.0,2.1,3800000.0
C00032,31,157300000.0,52500000.0,28,31.5,1,2,6200000.0,12.6,13100000.0
C00033,25,212900000.0,6000000.0,24,82.8,2,0,13400000.0,14.8,17700000.0
C00034,45,120000000.0,27600000.0,30,64.8,1,0,9600000.0,12.4,10000000.0
C00035,60,380200000.0,101900000.0,22,61.0,2,3,11400000.0,7.2,31700000.0
C00036,23,86200000.0,40500000.0,21,74.9,3,3,12200000.0,11.2,7200000.0
C00037,59,157800000.0,49700000.0,28,30.1,0,2,42600000.0,18.1,13200000.0
C00038,58,137300000.0,3500000.0,22,64.8,3,0,36000000.0,18.5,11400000.0
C00039,33,132500000.0,32200000.0,24,66.6,2,2,28200000.0,4.8,11000000.0
C00040,49,131500000.0,60000000.0,27,66.6,2,3,94600000.0,2.1,11000000.0
