Document_ID,Customer_ID,Document_Type,Document_Date,Image_Quality_Score,OCR_Confidence,Fields_Extracted,Expected_Fields,File_Size_KB,Status
DOC0000001,C000063,Rekening Koran,2026-02-12,0.95,0.985,8,11,3699,INVALID
DOC0000002,C000533,KTP,2026-02-20,0.758,0.98,9,8,4127,VALID
DOC0000003,C000315,Rekening Koran,2024-08-15,0.745,0.98,5,10,3526,NEEDS_REVIEW
DOC0000004,C000248,Form Aplikasi,2025-05-12,0.809,0.882,4,9,839,VALID
DOC0000005,C000645,Form Aplikasi,2026-01-14,0.799,0.845,10,7,2357,VALID
DOC0000006,C000091,Slip Gaji,2025-09-21,0.938,0.969,9,6,1616,INVALID
DOC0000007,C000305,Slip Gaji,2026-03-15,0.886,0.98,10,7,4040,INVALID
DOC0000008,C000006,NPWP,2025-05-20,0.685,0.884,8,6,767,VALID
DOC0000009,C000308,Rekening Koran,2025-10-30,0.658,0.883,8,9,525,VALID
DOC0000010,C000391,KTP,2026-09-19,0.805,0.979,10,6,1230,VALID
DOC0000011,C000599,Slip Gaji,2024-10-08,0.943,0.876,11,9,2093,INVALID
DOC0000012,C000285,KTP,2025-11-27,0.816,0.879,7,10,873,VALID
DOC0000013,C000656,Surat Kerja,2024-06-01,0.94,0.902,9,9,3067,VALID
DOC0000014,C000253,KTP,2025-04-02,0.74,0.942,6,10,4848,VALID
DOC0000015,C000183,Rekening Koran,2025-12-17,0.835,0.834,5,8,3543,VALID
DOC0000016,C000142,Rekening Koran,2025-05-07,0.789,0.794,9,9,2205,VALID
DOC0000017,C000099,NPWP,2025-08-07,0.737,0.924,0,7,2510,VALID
DOC0000018,C000462,KTP,2024-05-24,0.717,0.859,11,9,2279,VALID
DOC0000019,C000243,KTP,2024-03-05,0.684,0.829,4,7,2474,VALID
DOC0000020,C000309,Rekening Koran,2026-07-26,0.604,0.931,8,9,4260,VALID
DOC0000021,C000307,Surat Kerja,2024-11-11,0.879,0.897,4,9,3387,VALID
DOC0000022,C000171,Surat Kerja,2025-10-21,0.876,0.989,11,7,1243,VALID
DOC0000023,C000027,Slip Gaji,2024-07-21,0.761,0.977,11,9,1511,VALID
DOC0000024,C000633,Form Aplikasi,2024-09-12,0.914,0.874,11,11,825,VALID
DOC0000025,C000624,Form Aplikasi,2024-01-23,0.846,0.933,10,8,3335,VALID
DOC0000026,C000620,Surat Kerja,2024-04-04,0.882,0.812,4,6,412,VALID
DOC0000027,C000581,KTP,2026-09-25,1.0,0.821,10,7,4861,VALID
DOC0000028,C000304,KTP,2024-05-23,1.0,0.917,11,6,1538,VALID
DOC0000029,C000354,NPWP,2024-03-25,0.755,0.883,9,10,724,VALID
