Interaction_ID,Customer_ID,Channel,Intent,Risk_Level,Retrieved_Documents,Response_Time_Sec,Groundedness_Score,Answer_Relevance_Score,User_Rating,Escalated_To_Human,PII_Redacted,Safe_Response
INT0000001,C000090,Web,KYC,Medium,2,6.27,0.867,1.0,4,False,True,True
INT0000002,C000774,Web,Loan,Medium,1,4.27,0.842,0.969,5,False,True,True
INT0000003,C000654,Web,General,Low,3,3.95,0.831,0.845,5,False,True,True
INT0000004,C000439,Mobile App,Policy,Medium,2,2.11,0.921,0.835,5,False,True,True
INT0000005,C000433,Mobile App,Product Info,Low,4,3.82,0.858,0.883,5,False,True,True
INT0000006,C000858,Web,Fraud,Medium,3,3.82,0.849,0.796,4,False,True,False
INT0000007,C000086,Web,Complaint,Medium,4,1.34,0.77,0.823,4,False,True,False
INT0000008,C000697,Internal Desk,Loan,Low,2,2.83,0.897,0.952,5,False,True,True
INT0000009,C000202,Web,Complaint,Low,1,3.22,0.874,0.952,4,False,True,True
INT0000010,C000095,Mobile App,General,Medium,1,4.54,0.861,0.816,4,False,True,True
INT0000011,C000526,Mobile App,Complaint,Low,2,4.63,0.908,0.954,4,False,True,True
INT0000012,C000975,Web,Loan,High,2,2.75,0.957,0.936,3,False,True,True
INT0000013,C000736,Web,Product Info,Medium,4,4.64,0.953,1.0,5,False,True,True
INT0000014,C000761,Web,General,Medium,2,3.47,0.94,0.946,4,False,True,True
INT0000015,C000717,Internal Desk,General,Low,4,0.5,0.868,0.985,4,False,True,True
INT0000016,C000786,Web,Policy,Medium,1,2.93,0.839,0.938,4,False,True,True
INT0000017,C000513,Web,Complaint,High,2,5.74,0.796,0.978,5,False,True,False
INT0000018,C000128,Web,Product Info,Low,4,0.77,0.837,0.797,5,False,True,False
INT0000019,C000839,Web,KYC,Low,1,4.0,0.892,0.89,3,False,True,True
INT0000020,C000450,Mobile App,Fraud,Low,2,6.65,0.819,0.897,3,False,True,True
INT0000021,C000500,Web,General,Low,4,2.43,0.899,0.881,5,False,True,True
INT0000022,C000371,Mobile App,KYC,Medium,3,3.8,0.803,0.936,3,False,True,True
INT0000023,C000183,Mobile App,Loan,Low,4,1.45,0.741,0.951,5,False,True,False
INT0000024,C000926,Mobile App,General,Medium,3,6.73,0.964,0.931,5,True,True,True
INT0000025,C000781,Web,Policy,Low,4,3.65,0.847,0.886,5,False,True,True
INT0000026,C000644,Mobile App,Fraud,Low,4,3.88,0.815,0.841,5,False,True,True
INT0000027,C000403,Mobile App,Product Info,Low,4,6.24,0.792,0.988,5,False,True,False
INT0000028,C000822,Web,Product Info,Medium,1,4.99,0.928,0.928,5,False,True,True
INT0000029,C000545,Mobile App,Fraud,Medium,3,2.22,1.0,0.819,3,False,True,True
INT0000030,C000443,Mobile App,Loan,Low,1,2.63,0.854,0.885,4,False,True,True
INT0000031,C000451,Web,Product Info,Medium,1,4.69,0.871,0.761,5,False,True,False
INT0000032,C000228,Internal Desk,Transaction Help,Low,2,2.68,0.986,0.903,4,False,True,True
INT0000033,C000093,Mobile App,KYC,Low,3,0.5,0.727,0.884,5,False,True,False
INT0000034,C000555,Mobile App,Policy,Low,2,3.7,1.0,0.854,4,True,True,True
INT0000035,C000888,Internal Desk,Product Info,High,4,1.14,1.0,1.0,4,False,True,True
INT0000036,C000064,Web,Loan,Medium,2,6.71,0.646,0.808,4,False,True,False
INT0000037,C000858,Mobile App,Product Info,Medium,3,4.12,0.881,0.957,4,True,True,True
INT0000038,C000827,Web,KYC,Low,4,2.17,0.825,1.0,4,False,True,True
INT0000039,C000277,Mobile App,Policy,Low,4,2.54,0.866,0.986,4,False,True,True
INT0000040,C000632,Mobile App,Policy,Medium,1,0.5,0.852,0.897,4,False,True,True
INT0000041,C000166,Web,Loan,Low,3,1.82,0.963,0.809,5,True,True,True
INT0000042,C000758,Web,KYC,High,1,5.63,0.88,0.791,5,False,True,False
INT0000043,C000700,Web,General,Medium,3,7.82,0.808,0.867,5,False,True,True
INT0000044,C000355,Web,Loan,Low,2,5.11,0.875,0.845,3,True,True,True
INT0000045,C000068,Web,Fraud,Medium,4,3.63,0.936,0.842,3,False,True,True
INT0000046,C000970,Web,Policy,High,4,3.02,0.783,0.874,4,False,True,False
INT0000047,C000446,Web,Loan,Low,4,2.08,0.742,0.892,5,False,False,False
INT0000048,C000893,Web,Policy,Medium,4,7.51,1.0,0.939,5,False,True,True
INT0000049,C000678,Mobile App,Loan,High,2,3.46,0.832,0.801,4,False,True,True
INT0000050,C000778,Mobile App,Policy,Low,3,7.61,0.878,0.845,5,False,True,True
INT0000051,C000760,Mobile App,Product Info,High,1,6.31,0.854,0.887,5,False,True,True
INT0000052,C000195,Web,Product Info,Low,3,0.67,0.939,0.884,3,False,True,True
INT0000053,C000364,Mobile App,Product Info,Medium,1,2.6,1.0,1.0,5,False,True,True
INT0000054,C000467,Mobile App,Loan,Medium,3,2.6,0.942,0.919,4,False,True,True
INT0000055,C000498,Web,KYC,Medium,4,3.66,0.753,0.771,4,False,True,False
INT0000056,C000044,Web,Transaction Help,Low,3,3.69,0.765,0.933,4,True,True,False
INT0000057,C000547,Mobile App,Transaction Help,Medium,4,9.19,0.854,0.944,5,False,True,True
INT0000058,C000155,Web,Policy,Low,1,1.86,0.866,0.89,4,True,True,True
INT0000059,C000743,Mobile App,Policy,Low,4,4.21,0.735,0.803,3,False,True,False
INT0000060,C000683,Internal Desk,KYC,Low,3,4.91,0.964,1.0,4,False,True,True
INT0000061,C000922,Web,Fraud,Medium,3,3.8,0.792,0.814,3,False,True,False
INT0000062,C000745,Web,Fraud,Low,4,4.0,1.0,0.953,4,False,True,True
INT0000063,C000367,Internal Desk,Product Info,Low,3,1.92,1.0,0.916,5,False,True,True
INT0000064,C000967,Mobile App,Transaction Help,High,2,3.99,0.868,0.948,5,False,True,True
INT0000065,C000411,Web,General,Low,3,4.72,0.93,1.0,5,False,True,True
INT0000066,C000326,Mobile App,Complaint,Low,3,4.39,0.779,0.945,5,True,True,False
INT0000067,C000905,Mobile App,KYC,Low,4,4.83,0.946,0.855,5,False,True,True
INT0000068,C000371,Mobile App,KYC,Low,2,6.34,0.845,0.988,4,True,True,True
INT0000069,C000077,Mobile App,Complaint,Medium,3,5.49,0.792,0.85,5,False,True,False
INT0000070,C000470,Web,Transaction Help,Low,3,3.93,0.864,0.913,4,True,True,True
INT0000071,C000795,Web,KYC,Low,1,1.69,0.848,0.797,5,False,False,False
INT0000072,C000190,Mobile App,Product Info,High,1,2.72,0.861,0.817,4,True,True,True
INT0000073,C000463,Web,Fraud,Medium,1,3.4,0.975,0.904,5,False,True,True
INT0000074,C000130,Mobile App,General,Medium,3,4.25,0.819,0.929,4,False,True,True
INT0000075,C000686,Mobile App,KYC,Medium,2,2.94,1.0,0.764,5,False,True,False
INT0000076,C000476,Web,Policy,High,4,2.12,0.771,0.94,5,False,True,False
INT0000077,C000330,Mobile App,Product Info,Low,3,1.66,1.0,0.834,4,False,True,True
INT0000078,C000227,Web,Transaction Help,Medium,1,0.83,0.799,1.0,5,False,True,False
INT0000079,C000564,Mobile App,Complaint,Medium,1,3.38,0.89,0.872,4,False,True,True
INT0000080,C000670,Web,Complaint,Low,2,1.15,0.846,0.81,4,False,True,True
INT0000081,C000940,Mobile App,Transaction Help,Low,4,2.0,0.859,0.906,4,False,True,True
INT0000082,C000437,Mobile App,General,Low,1,3.09,0.962,0.827,4,False,True,True
INT0000083,C000161,Web,Transaction Help,Medium,1,1.4,1.0,1.0,4,False,True,True
INT0000084,C000832,Mobile App,KYC,Medium,1,4.48,0.997,0.9,3,False,True,True
INT0000085,C000630,Mobile App,Loan,Medium,2,5.13,0.854,0.888,5,True,True,True
INT0000086,C000700,Mobile App,Loan,Low,4,2.81,0.907,0.947,3,True,True,True
INT0000087,C000098,Mobile App,Transaction Help,Low,3,3.01,0.82,0.82,4,True,True,True
INT0000088,C000313,Internal Desk,Complaint,Low,2,4.77,0.801,0.797,5,True,True,False
INT0000089,C000768,Web,Loan,Low,1,2.51,0.787,0.933,5,False,True,False
INT0000090,C000832,Mobile App,Complaint,High,2,2.39,0.851,0.812,3,False,True,True
INT0000091,C000435,Web,KYC,High,3,5.95,0.912,0.812,4,False,True,True
INT0000092,C000804,Mobile App,Product Info,High,2,5.39,0.718,0.967,5,False,True,False
INT0000093,C000841,Mobile App,Product Info,Medium,3,4.88,0.886,0.942,4,False,True,True
INT0000094,C000388,Web,KYC,High,4,5.47,1.0,0.8,5,False,True,True
INT0000095,C000898,Web,Loan,Low,1,0.5,0.991,0.85,4,False,True,True
INT0000096,C000289,Mobile App,Product Info,Low,2,6.24,0.837,0.828,3,False,True,True
INT0000097,C000240,Web,General,Low,1,4.51,0.764,1.0,5,False,True,False
INT0000098,C000682,Mobile App,Product Info,Low,3,5.62,0.931,0.972,4,False,True,True
INT0000099,C000637,Web,General,Low,2,4.5,0.681,0.866,3,False,True,False
INT0000100,C000140,Internal Desk,KYC,Low,2,3.89,0.99,0.946,4,False,True,True
INT0000101,C000832,Web,General,High,1,3.3,0.871,0.792,5,False,True,False
INT0000102,C000200,Web,General,Low,1,4.46,1.0,0.846,3,False,True,True
INT0000103,C000805,Mobile App,Complaint,High,2,3.24,0.735,0.908,5,True,True,False
INT0000104,C000008,Internal Desk,Policy,Medium,3,5.36,0.973,0.936,4,True,True,True
INT0000105,C000797,Web,Transaction Help,Medium,1,0.94,0.881,0.892,4,True,True,True
INT0000106,C000787,Mobile App,Fraud,Medium,1,2.83,0.86,0.92,3,False,True,True
INT0000107,C000780,Mobile App,Transaction Help,Low,2,7.48,0.767,0.906,4,False,True,False
INT0000108,C000665,Mobile App,Fraud,Medium,3,2.67,0.944,0.887,4,False,True,True
INT0000109,C000472,Web,Policy,Low,2,3.37,0.951,0.876,3,True,True,True
INT0000110,C000705,Mobile App,Fraud,High,2,2.21,1.0,0.866,5,False,True,True
INT0000111,C000277,Mobile App,Product Info,Low,1,4.4,0.981,0.919,4,False,True,True
INT0000112,C000780,Mobile App,Complaint,Low,3,2.47,0.837,0.933,4,False,True,True
INT0000113,C000556,Mobile App,Policy,Medium,4,3.47,0.8,0.916,5,False,True,True
INT0000114,C000459,Mobile App,Loan,Medium,4,5.33,0.767,0.806,5,False,True,False
INT0000115,C000506,Web,Loan,Low,3,2.54,1.0,0.82,5,False,True,True
INT0000116,C000569,Internal Desk,Fraud,Medium,3,5.22,0.82,0.932,3,False,True,True
INT0000117,C000038,Mobile App,Complaint,Low,2,5.28,1.0,1.0,4,False,True,True
INT0000118,C000140,Mobile App,Loan,Medium,1,5.7,0.937,0.912,3,False,True,True
INT0000119,C000246,Web,KYC,Low,2,4.05,0.92,0.867,5,False,True,True
INT0000120,C000115,Web,General,Low,3,9.63,0.862,0.918,3,True,True,True
INT0000121,C000440,Mobile App,Loan,Low,3,5.7,0.949,0.809,4,False,True,True
INT0000122,C000668,Web,General,Low,4,4.38,0.889,1.0,4,False,True,True
INT0000123,C000654,Internal Desk,Policy,Low,4,2.22,0.857,0.915,5,False,True,True
INT0000124,C000471,Web,Product Info,Low,1,3.63,0.953,0.846,4,False,True,True
INT0000125,C000855,Mobile App,Fraud,Low,1,6.37,0.877,0.887,5,False,False,False
INT0000126,C000565,Mobile App,Fraud,Low,2,6.88,0.818,0.858,5,False,True,True
INT0000127,C000080,Web,Product Info,Low,4,6.46,0.944,1.0,5,False,True,True
INT0000128,C000765,Web,Transaction Help,Low,4,5.21,0.884,0.884,3,False,True,True
INT0000129,C000575,Mobile App,Policy,Medium,1,1.54,0.934,0.912,5,False,True,True
INT0000130,C000635,Mobile App,Complaint,High,1,4.68,0.849,0.946,4,False,True,True
INT0000131,C000565,Web,Transaction Help,Low,3,1.57,0.781,0.841,5,False,True,False
INT0000132,C000554,Mobile App,Complaint,High,3,1.12,1.0,0.915,5,False,True,True
INT0000133,C000091,Internal Desk,Complaint,Low,4,4.23,1.0,0.922,5,False,True,True
INT0000134,C000559,Mobile App,Transaction Help,Low,4,4.74,0.97,0.776,5,True,True,False
INT0000135,C000795,Web,Product Info,Medium,1,5.43,0.855,0.92,2,False,True,True
INT0000136,C000304,Web,Policy,Medium,1,4.69,0.863,0.896,4,True,True,True
INT0000137,C000603,Web,Policy,Medium,3,4.76,1.0,0.91,5,False,True,True
INT0000138,C000031,Web,Fraud,Low,3,2.03,0.858,0.903,5,False,True,True
INT0000139,C000348,Web,Loan,Medium,4,3.61,0.833,0.921,3,True,True,True
INT0000140,C000437,Mobile App,General,Low,3,1.09,1.0,1.0,4,False,True,True
INT0000141,C000982,Web,Policy,Low,3,0.5,0.886,0.806,2,False,True,True
INT0000142,C000215,Internal Desk,Product Info,Low,2,5.13,1.0,0.873,5,False,True,True
INT0000143,C000277,Web,General,High,1,2.44,0.764,0.953,3,False,True,False
INT0000144,C000409,Web,Product Info,Low,4,5.37,0.937,0.938,5,True,True,True
INT0000145,C000992,Mobile App,Product Info,Medium,4,5.8,1.0,0.937,5,True,True,True
INT0000146,C000853,Mobile App,Fraud,Medium,1,2.69,0.893,1.0,4,False,True,True
INT0000147,C000035,Web,KYC,Medium,3,4.86,0.866,0.949,5,True,True,True
INT0000148,C000234,Web,Product Info,Medium,2,2.61,0.785,0.99,4,False,True,False
INT0000149,C000821,Web,Complaint,Medium,2,0.5,0.987,0.875,4,False,True,True
INT0000150,C000059,Mobile App,Complaint,Low,4,4.02,0.821,0.821,3,False,True,True
INT0000151,C000855,Mobile App,Fraud,Low,4,2.95,0.881,0.875,5,False,True,True
INT0000152,C000282,Web,General,Medium,1,3.01,0.779,0.957,3,False,False,False
INT0000153,C000917,Web,Complaint,Low,2,7.36,1.0,0.933,3,False,False,False
INT0000154,C000294,Mobile App,Transaction Help,Low,4,1.05,0.994,0.932,4,True,True,True
INT0000155,C000434,Internal Desk,Product Info,Low,4,4.49,0.887,0.883,4,False,True,True
INT0000156,C000662,Mobile App,Transaction Help,Low,1,2.01,0.786,0.87,4,False,True,False
INT0000157,C000127,Mobile App,Transaction Help,Low,4,5.43,1.0,0.886,4,False,False,False
INT0000158,C000557,Web,Loan,Low,2,4.34,0.857,0.958,5,False,True,True
INT0000159,C000505,Web,Fraud,High,3,4.48,0.791,0.967,4,False,True,False
INT0000160,C000784,Web,Fraud,Low,1,2.1,0.731,0.82,4,False,True,False
INT0000161,C000996,Mobile App,Policy,High,3,2.42,0.832,0.961,4,False,False,False
INT0000162,C000664,Mobile App,Loan,High,3,5.47,0.759,0.848,5,False,True,False
INT0000163,C000409,Internal Desk,Transaction Help,Low,3,6.99,0.834,0.938,5,False,True,True
INT0000164,C000406,Internal Desk,Fraud,Medium,4,4.66,0.957,0.885,5,False,True,True
INT0000165,C000418,Internal Desk,Complaint,Medium,4,2.18,0.856,1.0,5,False,True,True
INT0000166,C000814,Internal Desk,Policy,Medium,4,4.41,0.922,0.867,3,False,True,True
INT0000167,C000321,Web,Complaint,Low,3,8.17,0.825,0.914,3,False,True,True
INT0000168,C000167,Web,Transaction Help,Low,4,3.98,0.896,0.949,4,False,True,True
INT0000169,C000334,Web,KYC,Low,3,6.43,1.0,0.83,4,False,True,True
INT0000170,C000023,Mobile App,Fraud,Medium,3,2.47,0.859,0.894,5,False,True,True
INT0000171,C000107,Web,Product Info,High,3,3.72,0.925,0.879,4,False,True,True
INT0000172,C000090,Mobile App,KYC,Medium,4,4.92,0.749,0.859,5,False,True,False
INT0000173,C000771,Mobile App,Transaction Help,Medium,1,4.52,1.0,0.865,3,False,True,True
