Account_ID,Outgoing_Tx,Total_Outgoing,Avg_Outgoing,Unique_Beneficiaries,Fraudulent_Outgoing,Fraud_Rate
A00001,5,4495000.0,899000.0,5,0,0.0
A00002,10,17306000.0,1730600.0,10,0,0.0
A00003,4,4406000.0,1101500.0,3,0,0.0
A00004,6,9511000.0,1585166.6666666667,6,0,0.0
A00005,5,4629000.0,925800.0,5,0,0.0
A00006,14,25022000.0,1787285.7142857143,14,0,0.0
A00007,3,7937000.0,2645666.6666666665,3,0,0.0
A00008,4,10242000.0,2560500.0,4,0,0.0
A00009,5,8086000.0,1617200.0,5,0,0.0
A00010,6,15007000.0,2501166.6666666665,6,0,0.0
A00011,5,3771000.0,754200.0,5,0,0.0
A00012,4,9905000.0,2476250.0,4,0,0.0
A00013,4,5512000.0,1378000.0,4,0,0.0
A00014,4,6066000.0,1516500.0,4,0,0.0
A00015,8,25513000.0,3189125.0,8,0,0.0
A00016,2,1365000.0,682500.0,2,0,0.0
A00017,4,9285000.0,2321250.0,4,1,0.25
A00018,4,6494000.0,1623500.0,4,0,0.0
A00019,6,12922000.0,2153666.6666666665,6,1,0.16666666666666666
A00020,8,18643000.0,2330375.0,8,0,0.0
A00021,4,7651000.0,1912750.0,4,0,0.0
A00022,3,5978000.0,1992666.6666666667,3,0,0.0
A00023,4,6299000.0,1574750.0,4,0,0.0
A00024,2,2058000.0,1029000.0,2,0,0.0
A00025,6,5955000.0,992500.0,6,0,0.0
A00026,4,2788000.0,697000.0,4,0,0.0
A00027,7,14533000.0,2076142.857142857,7,0,0.0
A00028,3,5649000.0,1883000.0,3,0,0.0
A00029,9,9865000.0,1096111.111111111,9,0,0.0
A00030,4,2570000.0,642500.0,4,0,0.0
A00031,7,9740000.0,1391428.5714285714,7,0,0.0
A00032,10,22205000.0,2220500.0,10,0,0.0
A00033,5,4959000.0,991800.0,5,0,0.0
A00034,3,10760000.0,3586666.6666666665,3,0,0.0
A00035,2,3876000.0,1938000.0,2,0,0.0
A00036,7,9322000.0,1331714.2857142857,7,0,0.0
A00037,8,17379000.0,2172375.0,8,0,0.0
A00038,8,20919000.0,2614875.0,8,0,0.0
A00039,5,14567000.0,2913400.0,5,0,0.0
A00040,6,13181000.0,2196833.3333333335,6,1,0.16666666666666666
A00041,5,13092000.0,2618400.0,5,0,0.0
A00042,4,27337000.0,6834250.0,4,0,0.0
A00043,7,14872000.0,2124571.4285714286,6,0,0.0
A00044,9,12149000.0,1349888.888888889,9,0,0.0
A00045,8,15492000.0,1936500.0,8,0,0.0
A00046,3,5016000.0,1672000.0,3,0,0.0
A00047,8,17806000.0,2225750.0,8,0,0.0
A00048,7,5485000.0,783571.4285714285,7,0,0.0
A00049,7,10412000.0,1487428.5714285714,7,0,0.0
A00050,3,4042000.0,1347333.3333333333,3,0,0.0
A00051,5,7030000.0,1406000.0,5,0,0.0
A00052,6,13243000.0,2207166.6666666665,6,0,0.0
A00053,2,8018000.0,4009000.0,2,0,0.0
A00054,6,7610000.0,1268333.3333333333,6,0,0.0
A00055,5,8557000.0,1711400.0,5,0,0.0
A00056,7,10986000.0,1569428.5714285714,7,0,0.0
A00057,8,6740000.0,842500.0,8,1,0.125
A00058,2,2720000.0,1360000.0,2,0,0.0
A00059,7,9479000.0,1354142.857142857,7,0,0.0
A00060,5,26945000.0,5389000.0,5,0,0.0
A00061,5,31408000.0,6281600.0,5,0,0.0
A00062,9,15141000.0,1682333.3333333333,9,0,0.0
A00063,5,5431000.0,1086200.0,5,0,0.0
A00064,4,5404000.0,1351000.0,4,0,0.0
A00065,3,1193000.0,397666.6666666667,3,0,0.0
A00066,5,10209000.0,2041800.0,5,0,0.0
A00067,6,10923000.0,1820500.0,6,1,0.16666666666666666
A00068,3,9522000.0,3174000.0,3,0,0.0
A00069,9,27408000.0,3045333.3333333335,9,0,0.0
A00070,6,15734000.0,2622333.3333333335,6,0,0.0
A00071,7,32269000.0,4609857.142857143,7,0,0.0
A00072,7,14998000.0,2142571.4285714286,7,0,0.0
A00073,11,13866000.0,1260545.4545454546,11,0,0.0
A00074,7,11047000.0,1578142.857142857,7,0,0.0
A00075,7,35253000.0,5036142.857142857,7,0,0.0
A00076,4,8222000.0,2055500.0,4,0,0.0
A00077,5,9302000.0,1860400.0,5,0,0.0
A00078,5,8897000.0,1779400.0,5,0,0.0
A00079,4,4154000.0,1038500.0,4,0,0.0
A00080,7,38667000.0,5523857.142857143,7,0,0.0
A00081,10,8926000.0,892600.0,10,0,0.0
A00082,6,9007000.0,1501166.6666666667,6,1,0.16666666666666666
A00083,8,23864000.0,2983000.0,8,0,0.0
A00084,7,13898000.0,1985428.5714285714,7,0,0.0
A00085,7,36232000.0,5176000.0,7,0,0.0
A00086,7,9782000.0,1397428.5714285714,7,0,0.0
A00087,9,12419000.0,1379888.888888889,9,0,0.0
A00088,6,24561000.0,4093500.0,6,0,0.0
A00089,6,11777000.0,1962833.3333333333,5,0,0.0
