Transaction_ID,Source_Account,Target_Account,Amount,Hour,Channel,Fraud_Label
T0000001,A01055,A00528,280000.0,18,Internet Banking,0
T0000002,A00574,A00355,934000.0,7,Mobile,0
T0000003,A01182,A00153,525000.0,16,Branch,0
T0000004,A00914,A00791,869000.0,6,Mobile,0
T0000005,A00782,A00108,299000.0,22,Mobile,0
T0000006,A01084,A00755,1519000.0,17,Mobile,0
T0000007,A00619,A00566,1018000.0,10,Mobile,0
T0000008,A00865,A00368,2196000.0,10,Mobile,0
T0000009,A00342,A00377,1496000.0,0,Internet Banking,0
T0000010,A01156,A01089,1506000.0,7,Mobile,0
T0000011,A00749,A00811,244000.0,18,Mobile,0
T0000012,A00939,A01100,2063000.0,19,Mobile,0
T0000013,A00553,A01155,834000.0,23,Mobile,0
T0000014,A01041,A00866,999000.0,2,Branch,0
T0000015,A00090,A00734,3802000.0,6,Mobile,0
T0000016,A00137,A00242,544000.0,18,ATM,0
T0000017,A00609,A00708,5305000.0,8,Mobile,0
T0000018,A00879,A01099,5878000.0,5,Mobile,0
T0000019,A00972,A00588,2747000.0,6,ATM,0
T0000020,A00529,A01042,408000.0,22,Mobile,0
T0000021,A00780,A00378,108000.0,20,ATM,0
T0000022,A00664,A00386,3932000.0,0,Mobile,0
T0000023,A01154,A00742,1356000.0,20,Mobile,0
T0000024,A00785,A00994,529000.0,13,Branch,0
T0000025,A00501,A01069,4363000.0,20,Mobile,0
T0000026,A01164,A00925,465000.0,14,Branch,0
T0000027,A00129,A00712,753000.0,16,Branch,0
T0000028,A01182,A01169,2138000.0,13,Mobile,0
T0000029,A00185,A00405,353000.0,17,Mobile,0
T0000030,A00346,A00799,1064000.0,19,ATM,0
T0000031,A00986,A00658,3976000.0,12,Mobile,0
T0000032,A00881,A00322,1514000.0,2,Internet Banking,0
T0000033,A01165,A01042,4733000.0,2,Mobile,0
T0000034,A00900,A00708,4176000.0,9,Mobile,0
T0000035,A00765,A00630,1210000.0,11,Internet Banking,0
T0000036,A00416,A00086,92000.0,20,Internet Banking,0
T0000037,A00006,A01156,356000.0,0,Internet Banking,0
T0000038,A00149,A00382,2779000.0,21,Internet Banking,0
T0000039,A00358,A00626,218000.0,1,Mobile,0
T0000040,A00050,A00581,838000.0,11,Mobile,0
T0000041,A00610,A00842,1741000.0,10,Mobile,0
T0000042,A00933,A01142,6043000.0,13,Mobile,0
T0000043,A01156,A00659,638000.0,1,Mobile,0
T0000044,A00588,A00532,591000.0,18,Internet Banking,1
T0000045,A01051,A00180,1133000.0,3,Mobile,0
T0000046,A01183,A01065,1765000.0,18,Mobile,0
T0000047,A01032,A00486,1013000.0,13,Internet Banking,0
T0000048,A00558,A00943,3806000.0,21,Mobile,0
T0000049,A00391,A00859,498000.0,23,Branch,0
T0000050,A01174,A01196,1370000.0,20,Mobile,0
T0000051,A00291,A00734,1958000.0,10,Mobile,0
T0000052,A00494,A00184,773000.0,9,ATM,0
T0000053,A00089,A00050,3022000.0,15,Internet Banking,0
T0000054,A00953,A00623,1414000.0,15,ATM,0
T0000055,A00780,A01093,2858000.0,18,Mobile,0
T0000056,A00102,A00576,1486000.0,11,Mobile,0
T0000057,A00267,A00673,1816000.0,11,Internet Banking,0
T0000058,A00667,A00597,599000.0,2,Mobile,0
T0000059,A00649,A00620,600000.0,4,Internet Banking,0
T0000060,A00963,A01037,4614000.0,19,Mobile,0
T0000061,A00320,A00766,2414000.0,23,Mobile,0
T0000062,A01110,A00878,389000.0,14,Mobile,0
T0000063,A00534,A01060,1464000.0,8,ATM,0
T0000064,A00988,A00753,88000.0,1,Mobile,0
T0000065,A00287,A00536,638000.0,1,Branch,0
T0000066,A00045,A00513,3454000.0,16,Mobile,0
T0000067,A00067,A00170,1046000.0,15,Mobile,0
T0000068,A00448,A01117,1366000.0,6,Mobile,1
