Customer_ID,Age,Gender,Married,Education,Employment_Years,Annual_Income,Coapplicant_Income,Credit_Score,Existing_Loans,Property_Area,Loan_Term_Months,Approved_Loan_Amount
C00001,25,Male,Yes,Not Graduate,8.7,44000000.0,119000000.0,713.0,2,Urban,60.0,93000000.0
C00002,55,Male,No,Graduate,2.6,96600000.0,33100000.0,587.0,1,Urban,12.0,92000000.0
C00003,50,Female,No,Graduate,7.6,45900000.0,246100000.0,643.0,1,Semiurban,72.0,147000000.0
C00004,40,Female,Yes,Graduate,20.2,368800000.0,53400000.0,766.0,4,Urban,60.0,353000000.0
C00005,40,Female,Yes,Graduate,12.3,134900000.0,27800000.0,765.0,1,Rural,48.0,145000000.0
C00006,59,Female,Yes,Graduate,4.3,128600000.0,54500000.0,667.0,1,Rural,36.0,109000000.0
C00007,24,Male,No,Graduate,7.8,136300000.0,38200000.0,825.0,0,Semiurban,36.0,183000000.0
C00008,52,Female,No,Not Graduate,23.8,167300000.0,102400000.0,663.0,0,Urban,84.0,124000000.0
C00009,30,Female,No,Graduate,10.8,205500000.0,13800000.0,725.0,1,Urban,72.0,208000000.0
C00010,25,Male,Yes,Graduate,11.0,50800000.0,8300000.0,723.0,1,Semiurban,72.0,74000000.0
C00011,44,Female,Yes,Not Graduate,3.8,246700000.0,46700000.0,590.0,0,Urban,60.0,170000000.0
C00012,64,Male,Yes,Graduate,7.6,238100000.0,68300000.0,682.0,1,Semiurban,72.0,83000000.0
C00013,54,Female,Yes,Graduate,20.4,115700000.0,44000000.0,850.0,1,Urban,60.0,213000000.0
C00014,55,Female,No,Graduate,19.7,112400000.0,59900000.0,621.0,1,Semiurban,48.0,136000000.0
C00015,53,Female,Yes,Not Graduate,10.9,21800000.0,53300000.0,737.0,1,Semiurban,60.0,142000000.0
C00016,56,Female,Yes,Graduate,22.3,60500000.0,10700000.0,603.0,2,Semiurban,60.0,157000000.0
C00017,44,Male,Yes,Graduate,9.5,159600000.0,43800000.0,620.0,1,Semiurban,60.0,69000000.0
C00018,26,Female,Yes,Not Graduate,21.6,232300000.0,100400000.0,584.0,0,Urban,36.0,219000000.0
C00019,58,Female,Yes,Graduate,0.8,179200000.0,40200000.0,761.0,0,Urban,60.0,208000000.0
C00020,41,Female,Yes,Not Graduate,8.7,115100000.0,12300000.0,625.0,1,Semiurban,60.0,95000000.0
C00021,43,Female,No,Graduate,21.4,346100000.0,26800000.0,785.0,1,Semiurban,36.0,303000000.0
C00022,37,Male,No,Graduate,22.5,208600000.0,54600000.0,650.0,4,Urban,36.0,267000000.0
C00023,29,Female,No,Graduate,18.9,96600000.0,147200000.0,700.0,0,Rural,60.0,153000000.0
C00024,62,Male,No,Not Graduate,16.7,398500000.0,7300000.0,721.0,0,Urban,60.0,285000000.0
