Customer_ID,Risk_Score,Outstanding_Balance,Overdue_Days,Overdue_Amount,Segment,Current_Channel,Estimated_Recovery_Rate,Expected_Recovery,Contact_Cost,Recovery_per_Cost
C00001,0.244,19582556.0,98,951811.0,Mass,SMS,0.2358,140979.0,3000,46.9931
C00002,0.2841,37971464.0,67,1329813.0,Mass,SMS,0.2126,171868.0,3000,57.2894
C00003,0.3903,24783484.0,161,2368207.0,Mass,SMS,0.2154,282993.0,3000,94.3309
C00004,0.2986,14483242.0,172,1326349.0,Affluent,WhatsApp,0.3081,245430.0,5000,49.086
C00005,0.4184,87133516.0,139,7415127.0,Mass,SMS,0.2114,847894.0,3000,282.6314
C00006,0.4996,14579528.0,153,1486564.0,Mass,SMS,0.2001,148750.0,3000,49.5832
C00007,0.304,18667414.0,139,1390734.0,Affluent,WhatsApp,0.3071,255369.0,5000,51.0739
C00008,0.1509,5090511.0,53,117073.0,Affluent,WhatsApp,0.2945,23261.0,5000,4.6521
C00009,0.3294,12246620.0,166,1124052.0,Mass,WhatsApp,0.3022,198854.0,5000,39.7708
C00010,0.5237,41886011.0,96,2744344.0,Affluent,Call Center,0.413,553281.0,25000,22.1312
C00011,0.1613,34448925.0,62,941581.0,Mass,Call Center,0.4711,296909.0,25000,11.8764
C00012,0.3275,45530973.0,35,879090.0,Mass,Field Agent,0.5309,273603.0,180000,1.52
C00013,0.4876,43373910.0,128,3655391.0,Mass,SMS,0.2017,373276.0,3000,124.4254
C00014,0.2162,201661361.0,50,4814367.0,Mass,Call Center,0.4363,1348344.0,25000,53.9337
C00015,0.2918,11834476.0,118,737136.0,Mass,Field Agent,0.6645,295923.0,180000,1.644
C00016,0.2282,4950319.0,12,100000.0,Affluent,SMS,0.1762,11202.0,3000,3.734
C00017,0.1563,8743607.0,115,439977.0,Affluent,Call Center,0.521,154012.0,25000,6.1605
C00018,0.1456,12369379.0,116,617591.0,Mass,SMS,0.2496,104393.0,3000,34.7976
C00019,0.3281,9436158.0,95,494907.0,Affluent,Call Center,0.4705,136447.0,25000,5.4579
C00020,0.3133,27454681.0,119,1771423.0,Priority,WhatsApp,0.3053,320879.0,5000,64.1758
C00021,0.3289,87490545.0,179,8654624.0,Mass,Field Agent,0.6494,3291096.0,180000,18.2839
C00022,0.1636,116575006.0,151,7787164.0,Affluent,SMS,0.2471,1285782.0,3000,428.594
C00023,0.4131,41396003.0,80,2015831.0,Priority,SMS,0.2051,224697.0,3000,74.899
C00024,0.1129,212756441.0,157,13649110.0,Affluent,Field Agent,0.7371,6977936.0,180000,38.7663
C00025,0.3648,17505284.0,172,1735910.0,Mass,Field Agent,0.6349,625550.0,180000,3.4753
C00026,0.2989,4885916.0,29,100000.0,Affluent,WhatsApp,0.2454,14736.0,5000,2.9472
C00027,0.0962,71668684.0,65,1851725.0,Affluent,SMS,0.2351,305619.0,3000,101.8729
C00028,0.396,3976020.0,134,318247.0,Mass,Call Center,0.4506,79155.0,25000,3.1662
C00029,0.2535,11750230.0,93,548929.0,Mass,SMS,0.2345,80232.0,3000,26.7439
C00030,0.6282,42055411.0,25,790769.0,Mass,Call Center,0.2995,103232.0,25000,4.1293
C00031,0.2266,22567128.0,86,940135.0,Mass,SMS,0.2351,140723.0,3000,46.9076
C00032,0.5606,20654290.0,68,993093.0,Mass,Field Agent,0.5147,240059.0,180000,1.3337
C00033,0.1641,7675902.0,133,451955.0,Mass,SMS,0.247,74577.0,3000,24.8591
C00034,0.0689,24731394.0,93,872263.0,Affluent,Call Center,0.5468,341265.0,25000,13.6506
C00035,0.5079,68206394.0,26,1191634.0,Affluent,Call Center,0.3286,194209.0,25000,7.7683
C00036,0.0463,25504215.0,9,100000.0,Mass,Call Center,0.404,29365.0,25000,1.1746
C00037,0.1189,10898770.0,52,233849.0,Mass,Field Agent,0.6416,103614.0,180000,0.5756
C00038,0.4358,7180273.0,29,129907.0,Mass,SMS,0.1665,11509.0,3000,3.8362
C00039,0.2439,11125961.0,158,871832.0,Mass,SMS,0.2359,129138.0,3000,43.0461
C00040,0.2769,37010793.0,49,939279.0,Mass,Call Center,0.4192,240813.0,25000,9.6325
C00041,0.4798,35250443.0,115,2648039.0,Mass,Call Center,0.4259,575309.0,25000,23.0124
C00042,0.4232,11227529.0,23,158936.0,Priority,SMS,0.1637,14006.0,3000,4.6688
C00043,0.2031,2740434.0,80,102767.0,Mass,SMS,0.2335,15561.0,3000,5.1869
C00044,0.0529,38049525.0,169,2370223.0,Mass,WhatsApp,0.3545,607964.0,5000,121.5928
C00045,0.1579,10187571.0,116,518342.0,Affluent,Call Center,0.5206,181067.0,25000,7.2427
C00046,0.1739,49796181.0,52,1163318.0,Mass,Call Center,0.4505,347514.0,25000,13.9006
C00047,0.4552,11737234.0,135,1009061.0,Mass,Field Agent,0.5982,315309.0,180000,1.7517
C00048,0.5641,9308941.0,91,600919.0,Mass,SMS,0.191,53721.0,3000,17.9068
C00049,0.0892,29138133.0,43,492152.0,Mass,SMS,0.2172,75393.0,3000,25.1311
C00050,0.234,264165303.0,180,23267332.0,Mass,Call Center,0.4982,7337770.0,25000,293.5108
C00051,0.545,52873688.0,169,6225425.0,Affluent,Call Center,0.4068,1209090.0,25000,48.3636
C00052,0.2093,28648329.0,102,1381686.0,Mass,SMS,0.2407,214637.0,3000,71.5457
C00053,0.3996,35792106.0,6,128801.0,Affluent,Field Agent,0.4469,31671.0,180000,0.176
C00054,0.3734,4339504.0,75,189509.0,Mass,SMS,0.2068,22080.0,3000,7.3599
C00055,0.3619,8137927.0,93,434895.0,Affluent,Field Agent,0.6361,157402.0,180000,0.8745
C00056,0.216,2029820.0,168,162785.0,Affluent,Field Agent,0.6953,72661.0,180000,0.4037
C00057,0.1251,140998566.0,132,7756283.0,Mass,Call Center,0.5302,2827131.0,25000,113.0852
C00058,0.2673,115153020.0,41,2415096.0,Affluent,WhatsApp,0.2627,391035.0,5000,78.2069
C00059,0.3926,37028739.0,92,2027090.0,Mass,Call Center,0.4516,506880.0,25000,20.2752
C00060,0.0513,28616713.0,33,347073.0,Mass,Call Center,0.4471,112392.0,25000,4.4957
C00061,0.6817,5297769.0,86,358917.0,Affluent,WhatsApp,0.2325,34148.0,5000,6.8296
