Customer_ID,Age,Tenure_Months,Monthly_Income,Product_Count,Monthly_Transactions,Digital_Engagement,Complaint_Count,Credit_Utilization,Late_Payment_Count,Segment,Observation_Months,Churn_Event,Churn_Label
C00001,25,94,26291033,1,18,15,1,0.5393792166748731,2,Mass,45.3,0,Active/Censored
C00002,55,82,33851961,2,23,87,1,0.7988014139869907,1,Mass,60.0,0,Active/Censored
C00003,50,112,27047010,2,21,98,1,0.8468062969519358,1,Mass,37.3,0,Active/Censored
C00004,40,116,25387455,4,20,54,1,0.1422732980398278,0,Mass,60.0,0,Active/Censored
C00005,40,86,20824887,2,9,25,4,0.8311970455169035,1,Mass,19.1,0,Active/Censored
C00006,59,46,12814770,4,24,23,5,0.6056148345946848,1,Affluent,33.4,0,Active/Censored
C00007,24,73,14107584,1,24,34,0,0.07905069692239705,1,Mass,35.1,0,Active/Censored
C00008,52,53,30844300,2,13,72,2,0.14763713231335723,0,Mass,11.6,0,Active/Censored
C00009,30,77,6513235,4,17,18,2,0.09098079234231943,1,Mass,24.7,0,Active/Censored
C00010,25,98,7041312,1,15,68,1,0.9037027153268977,1,Mass,41.7,0,Active/Censored
C00011,44,46,18279972,2,17,83,1,0.43386611240001605,0,Mass,51.0,0,Active/Censored
C00012,64,62,31879042,4,16,23,1,0.6940540677720658,0,Affluent,22.8,0,Active/Censored
C00013,54,8,27653270,3,11,99,2,0.051545607213120015,0,Mass,60.0,0,Active/Censored
C00014,55,89,25239467,4,18,99,2,0.7638547699179864,2,Priority,60.0,0,Active/Censored
C00015,53,60,23228762,3,19,37,0,0.4838318485819847,0,Mass,60.0,0,Active/Censored
C00016,56,57,7987011,4,14,20,1,0.8812424027864106,1,Mass,30.4,0,Active/Censored
C00017,44,65,15944612,4,7,39,1,0.5188077421296713,0,Mass,60.0,0,Active/Censored
C00018,26,28,6862200,4,19,33,1,0.7599201343016446,1,Mass,50.3,0,Active/Censored
C00019,58,73,31293680,1,24,35,0,0.6165200222242848,1,Mass,4.6,0,Active/Censored
C00020,41,90,31030107,3,17,94,1,0.518484625375656,1,Mass,3.5,0,Active/Censored
C00021,43,44,13291410,1,17,24,1,0.9034197699816514,0,Affluent,21.0,0,Active/Censored
C00022,37,18,14545692,1,24,38,1,0.49603929991283713,0,Affluent,60.0,1,Churned
C00023,29,48,15428371,2,14,81,4,0.8531495284767591,2,Mass,60.0,0,Active/Censored
C00024,62,26,36014866,3,9,15,1,0.08246986712138207,1,Priority,51.8,0,Active/Censored
C00025,56,47,21586950,2,18,15,1,0.6416769607242063,0,Affluent,60.0,0,Active/Censored
C00026,49,76,31434628,4,16,37,1,0.8704954213107308,0,Mass,60.0,0,Active/Censored
C00027,39,16,20157783,2,23,98,1,0.8593477965376465,1,Mass,1.8,0,Active/Censored
C00028,58,91,29134848,3,11,86,1,0.48654826745481533,0,Mass,22.7,0,Active/Censored
C00029,45,29,23019755,4,22,94,2,0.4748874493727123,2,Affluent,3.0,0,Active/Censored
C00030,40,108,14029817,4,14,88,3,0.7794620911609156,1,Mass,56.1,0,Active/Censored
C00031,41,89,35546773,1,21,20,1,0.3515142965955834,1,Mass,6.9,0,Active/Censored
C00032,31,35,29522002,3,12,46,2,0.89344528264089,2,Mass,60.0,0,Active/Censored
C00033,25,69,31696170,1,16,58,0,0.27561570849883343,0,Mass,8.6,0,Active/Censored
C00034,45,16,38133316,3,18,25,1,0.11695804458180775,0,Mass,58.5,0,Active/Censored
C00035,60,14,12955731,2,13,100,2,0.7447315573515706,4,Mass,3.9,0,Active/Censored
C00036,23,115,7296154,4,14,64,1,0.41425182996102455,2,Priority,23.8,0,Active/Censored
C00037,59,97,24961794,4,23,87,0,0.37019963170700604,1,Mass,31.4,0,Active/Censored
C00038,58,21,15741855,4,12,33,2,0.3388189593016273,0,Mass,36.2,0,Active/Censored
C00039,33,36,19687985,4,19,75,2,0.932398010767435,0,Mass,10.4,0,Active/Censored
C00040,49,26,12448201,2,16,19,1,0.5645089877658942,0,Mass,20.8,1,Churned
C00041,28,49,18344865,3,28,12,0,0.9427229983389118,1,Affluent,27.2,0,Active/Censored
C00042,55,37,18157004,1,22,68,2,0.3592228895091225,0,Priority,49.8,0,Active/Censored
C00043,52,41,16620012,3,16,16,1,0.42257231479427965,2,Affluent,21.9,0,Active/Censored
C00044,36,65,30723975,1,16,35,1,0.24058642829780108,0,Mass,50.4,0,Active/Censored
C00045,24,25,25335487,3,16,82,0,0.43732770470555316,0,Affluent,58.6,0,Active/Censored
C00046,64,107,21072732,4,12,55,2,0.10580480861325392,1,Affluent,39.2,0,Active/Censored
C00047,41,88,8057760,3,20,44,1,0.05050206673968837,1,Mass,60.0,1,Churned
C00048,61,92,24546301,4,15,36,2,0.4577661284948181,1,Priority,60.0,0,Active/Censored
C00049,51,22,10300758,1,15,70,2,0.7214215321335414,1,Affluent,60.0,0,Active/Censored
C00050,56,86,15309575,4,14,96,1,0.4433586498158486,0,Affluent,58.9,0,Active/Censored
C00051,55,101,18936625,3,17,77,0,0.516204859247078,2,Mass,23.6,0,Active/Censored
C00052,29,23,9086413,3,13,42,0,0.4510543060089695,1,Mass,54.6,0,Active/Censored
C00053,37,91,18021623,4,20,48,0,0.5241238519291626,1,Affluent,46.5,0,Active/Censored
C00054,42,45,13609611,3,20,19,1,0.7480436429747094,0,Mass,52.1,0,Active/Censored
C00055,43,95,34591462,2,16,23,1,0.7734076615566008,0,Priority,43.3,0,Active/Censored
C00056,22,59,34948490,3,21,34,0,0.8042522393412235,0,Mass,59.1,0,Active/Censored
C00057,45,97,4164446,3,21,45,1,0.24118691726265473,1,Mass,10.9,0,Active/Censored
C00058,27,20,25687010,4,15,100,1,0.4620600107095252,0,Affluent,60.0,0,Active/Censored
C00059,54,48,27059837,2,11,89,1,0.7979051265832142,1,Mass,60.0,0,Active/Censored
C00060,51,35,17607592,3,8,20,1,0.8976911178895656,0,Mass,47.7,0,Active/Censored
C00061,62,32,20888398,3,26,40,1,0.5386850441637027,1,Affluent,18.9,1,Churned
C00062,54,39,32436615,1,19,15,0,0.4936999802015375,2,Affluent,21.0,0,Active/Censored
C00063,37,48,17606647,1,19,15,1,0.7381352940327139,1,Mass,60.0,0,Active/Censored
C00064,64,18,6320467,1,20,44,2,0.9425248822422867,1,Mass,42.6,0,Active/Censored
C00065,39,86,17410268,3,17,97,2,0.4333389785161921,1,Affluent,52.1,0,Active/Censored
C00066,35,67,13140079,2,17,26,0,0.19858971041135015,1,Mass,50.4,0,Active/Censored
C00067,61,100,17778004,4,17,71,1,0.8008761209782509,1,Affluent,60.0,0,Active/Censored
C00068,37,86,12283713,3,16,45,0,0.6893826876319821,1,Affluent,21.0,0,Active/Censored
C00069,24,20,9395421,1,17,59,0,0.1805681947957531,0,Mass,60.0,0,Active/Censored
C00070,42,11,39473124,1,18,89,1,0.3411583670642464,0,Mass,60.0,0,Active/Censored
C00071,56,52,8639211,2,20,85,1,0.5479010530070122,3,Mass,31.3,0,Active/Censored
C00072,29,59,29419548,4,21,85,2,0.7083190042941886,1,Mass,32.0,0,Active/Censored
C00073,41,31,29832760,1,15,47,0,0.7525819251995581,1,Affluent,60.0,1,Churned
C00074,26,95,26240293,1,19,14,1,0.19015823284692257,2,Affluent,50.6,0,Active/Censored
C00075,51,71,36812430,1,12,99,1,0.2450756035104315,1,Priority,51.0,0,Active/Censored
C00076,42,91,4179458,2,18,100,1,0.7197102629825409,0,Mass,9.8,0,Active/Censored
C00077,35,15,14858648,4,17,88,3,0.15450113549667713,0,Affluent,60.0,0,Active/Censored
C00078,31,99,10635160,3,13,53,2,0.4983442150321057,0,Affluent,20.7,0,Active/Censored
C00079,46,27,24769342,2,18,35,2,0.541392938952503,0,Mass,21.7,1,Churned
C00080,51,55,26879486,1,13,25,1,0.3554190924130539,2,Affluent,60.0,0,Active/Censored
C00081,63,54,36324453,2,20,43,1,0.7667025927141932,2,Mass,22.9,0,Active/Censored
C00082,40,99,17669895,3,15,40,1,0.09987422967121135,1,Mass,18.6,0,Active/Censored
C00083,28,35,12492353,2,23,35,2,0.7497000453027169,0,Priority,49.2,0,Active/Censored
C00084,58,31,37274093,3,21,96,1,0.6314294734834897,0,Mass,27.2,0,Active/Censored
C00085,49,43,28227561,4,19,70,1,0.5064958181060581,4,Mass,60.0,1,Churned
C00086,52,45,31530071,1,13,30,0,0.8351354277307416,2,Mass,26.5,0,Active/Censored
C00087,25,24,20019229,2,21,68,3,0.23202179423025165,0,Priority,58.3,0,Active/Censored
C00088,35,23,20105826,1,17,74,1,0.770696631611914,0,Mass,50.7,0,Active/Censored
C00089,55,30,18005679,3,14,57,3,0.21899708668539186,3,Priority,60.0,0,Active/Censored
C00090,58,58,30982539,2,13,96,0,0.9414014875007007,1,Priority,10.2,0,Active/Censored
C00091,40,43,11582157,2,12,97,2,0.07948829290082962,2,Mass,60.0,1,Churned
C00092,57,49,39114555,1,15,49,4,0.5478775332602456,0,Mass,57.8,0,Active/Censored
C00093,58,87,10333311,1,17,52,1,0.2012151327991783,0,Mass,60.0,0,Active/Censored
C00094,38,31,20595309,2,18,29,1,0.41717755982603444,0,Mass,60.0,0,Active/Censored
C00095,61,110,15326082,3,14,81,1,0.18315200315710517,1,Mass,48.3,0,Active/Censored
C00096,33,91,27130931,1,10,94,0,0.22444290661148608,1,Affluent,53.6,0,Active/Censored
C00097,31,23,28504905,1,20,69,0,0.10488245785383937,1,Priority,60.0,0,Active/Censored
C00098,51,40,37071926,2,19,28,1,0.05720319074646585,0,Mass,60.0,0,Active/Censored
C00099,49,24,32411817,3,13,57,0,0.6973752974959994,1,Mass,22.5,0,Active/Censored
C00100,27,35,12952287,2,22,82,0,0.4581144794715535,0,Mass,2.8,0,Active/Censored
C00101,58,46,11439660,2,29,13,1,0.09103296666031002,1,Mass,59.6,0,Active/Censored
C00102,29,18,35916084,1,16,63,1,0.8950728369954843,1,Mass,24.0,1,Churned
C00103,57,4,21563337,3,14,69,0,0.6490491309162791,0,Priority,12.0,0,Active/Censored
C00104,21,54,7511609,4,16,58,0,0.2878458188301446,0,Mass,47.8,0,Active/Censored
C00105,56,85,33698952,4,25,68,1,0.4448256324080887,0,Mass,60.0,0,Active/Censored
C00106,56,38,27344134,3,12,91,0,0.49034001461506965,0,Affluent,7.0,0,Active/Censored
C00107,56,104,4920560,3,13,21,0,0.5629350332937778,0,Mass,32.2,0,Active/Censored
C00108,50,46,32182173,2,21,61,1,0.821705249902606,1,Priority,1.2,1,Churned
C00109,42,109,25865529,1,23,82,0,0.580910254460737,2,Priority,60.0,0,Active/Censored
C00110,52,30,26125823,2,22,84,3,0.9308535341403769,1,Mass,17.0,0,Active/Censored
C00111,33,66,35137745,3,14,52,4,0.7041281803670534,0,Mass,22.8,0,Active/Censored
C00112,56,93,21839252,3,21,100,2,0.9396654784437282,2,Affluent,52.1,0,Active/Censored
C00113,46,9,20605565,4,20,39,0,0.5456742361488325,2,Mass,19.4,0,Active/Censored
C00114,41,112,26224495,4,15,50,1,0.6606042696167805,2,Mass,60.0,0,Active/Censored
C00115,43,46,11120175,1,19,84,2,0.714108714858182,1,Priority,60.0,0,Active/Censored
C00116,46,61,9459893,1,30,49,0,0.7292723311120973,1,Mass,8.1,0,Active/Censored
C00117,22,77,34375993,2,24,41,3,0.07198666550266183,0,Mass,60.0,0,Active/Censored
C00118,27,78,11760545,4,20,60,0,0.16472688866164215,0,Mass,60.0,0,Active/Censored
C00119,32,5,22156397,4,30,66,0,0.2549501474261804,0,Mass,46.8,0,Active/Censored
