Loan_ID,Age,Gender,Married,Dependents,Education,Self_Employed,Annual_Income,Coapplicant_Income,Credit_History,Loan_Amount,Loan_Term_Months,Property_Area,Existing_Loans,Monthly_Debt_Payment,Employment_Years,Loan_Status
LN00001,25,Male,Yes,2,Graduate,No,197200000.0,11500000.0,0.0,227000000.0,60.0,Urban,1,3530000.0,2.4,1
LN00002,55,Female,No,0,Not Graduate,No,154200000.0,37200000.0,0.0,193000000.0,24.0,Urban,0,920000.0,17.0,1
LN00003,50,Female,Yes,0,Graduate,Yes,279200000.0,102900000.0,1.0,820000000.0,48.0,Urban,1,1540000.0,18.0,0
LN00004,40,Female,Yes,3+,Graduate,No,159100000.0,76500000.0,1.0,194000000.0,60.0,Rural,2,3490000.0,24.7,1
LN00005,40,Male,Yes,1,Graduate,No,284600000.0,110400000.0,0.0,345000000.0,24.0,Urban,1,2580000.0,5.5,1
LN00006,59,Male,No,0,Graduate,No,137400000.0,21800000.0,1.0,333000000.0,60.0,Urban,0,4630000.0,16.4,1
LN00007,24,Female,No,2,Graduate,No,197100000.0,72900000.0,1.0,99000000.0,60.0,Urban,0,11790000.0,7.6,1
LN00008,52,Female,No,1,Graduate,,160300000.0,24900000.0,1.0,560000000.0,36.0,Semiurban,3,1260000.0,7.6,0
LN00009,30,Female,No,2,Not Graduate,No,100300000.0,56300000.0,1.0,353000000.0,12.0,Semiurban,0,15160000.0,21.4,0
LN00010,25,Female,Yes,2,Graduate,No,107200000.0,99900000.0,0.0,273000000.0,24.0,Semiurban,0,11190000.0,22.3,0
LN00011,44,Male,Yes,0,Not Graduate,No,96700000.0,18500000.0,1.0,447000000.0,36.0,Semiurban,0,900000.0,6.7,0
LN00012,64,Male,Yes,0,Graduate,No,138900000.0,7900000.0,1.0,244000000.0,60.0,Semiurban,2,1300000.0,15.0,0
LN00013,54,Male,Yes,0,Graduate,No,93400000.0,153500000.0,1.0,406000000.0,36.0,Urban,0,2260000.0,18.5,1
LN00014,55,Male,No,2,Graduate,No,152500000.0,51700000.0,1.0,89000000.0,60.0,Semiurban,1,1540000.0,8.5,1
LN00015,53,Male,No,1,Graduate,No,149700000.0,32100000.0,1.0,392000000.0,36.0,Urban,1,4510000.0,3.8,0
LN00016,56,Female,Yes,2,Graduate,No,134300000.0,30700000.0,0.0,277000000.0,84.0,Urban,0,4680000.0,20.4,0
LN00017,44,Male,No,1,Graduate,No,135600000.0,6500000.0,1.0,279000000.0,60.0,Semiurban,0,3310000.0,13.1,0
LN00018,26,Male,No,0,Graduate,No,87900000.0,41400000.0,1.0,157000000.0,60.0,Urban,0,3900000.0,6.9,1
LN00019,58,Female,Yes,0,Graduate,No,102800000.0,22900000.0,1.0,222000000.0,60.0,Semiurban,0,2730000.0,0.7,1
LN00020,41,Male,Yes,0,Not Graduate,No,47900000.0,36500000.0,1.0,218000000.0,36.0,Semiurban,4,3960000.0,21.4,0
LN00021,43,Male,Yes,0,Graduate,No,112300000.0,35900000.0,1.0,134000000.0,60.0,Rural,1,11450000.0,11.1,0
LN00022,37,Female,Yes,1,Graduate,No,69800000.0,2300000.0,1.0,304000000.0,60.0,Urban,1,560000.0,13.9,1
LN00023,29,Male,Yes,3+,Graduate,No,126800000.0,51800000.0,1.0,594000000.0,60.0,Semiurban,1,3040000.0,3.4,0
LN00024,62,Female,Yes,0,Graduate,No,81000000.0,40700000.0,1.0,114000000.0,72.0,Semiurban,0,4150000.0,2.1,0
LN00025,56,Female,Yes,1,Not Graduate,No,38800000.0,45300000.0,1.0,327000000.0,36.0,Rural,0,2800000.0,8.9,0
LN00026,49,Male,Yes,0,Graduate,No,414200000.0,30200000.0,1.0,198000000.0,24.0,Urban,1,3730000.0,5.7,1
LN00027,39,Female,No,2,Not Graduate,No,105700000.0,36400000.0,1.0,186000000.0,60.0,Semiurban,3,6940000.0,0.9,1
LN00028,58,Female,No,0,Not Graduate,No,266000000.0,40200000.0,1.0,260000000.0,12.0,Semiurban,2,2090000.0,4.4,0
LN00029,45,Female,Yes,1,Graduate,Yes,89800000.0,43600000.0,1.0,263000000.0,60.0,Urban,0,14080000.0,16.3,0
LN00030,40,Female,Yes,0,Graduate,No,305300000.0,51200000.0,1.0,277000000.0,60.0,Urban,3,1060000.0,6.3,0
LN00031,41,Female,Yes,0,Graduate,No,63700000.0,43900000.0,1.0,134000000.0,72.0,Rural,1,4630000.0,24.1,1
LN00032,31,Female,Yes,1,Not Graduate,No,132200000.0,153700000.0,1.0,455000000.0,24.0,Semiurban,1,2970000.0,22.5,0
LN00033,25,Female,Yes,0,Graduate,No,65800000.0,19600000.0,1.0,261000000.0,36.0,Semiurban,1,3600000.0,8.6,1
LN00034,45,Male,Yes,0,Graduate,Yes,501600000.0,25900000.0,1.0,347000000.0,60.0,Semiurban,0,5110000.0,19.8,1
LN00035,60,Female,Yes,0,Graduate,No,104600000.0,135600000.0,,488000000.0,48.0,Urban,1,1950000.0,4.5,1
LN00036,23,Female,No,3+,Not Graduate,No,189300000.0,30900000.0,1.0,87000000.0,72.0,Urban,0,6490000.0,11.6,0
LN00037,59,Female,Yes,0,Graduate,,153700000.0,73700000.0,1.0,354000000.0,60.0,Semiurban,3,11950000.0,10.7,0
LN00038,58,,No,1,Graduate,No,118300000.0,39000000.0,1.0,228000000.0,60.0,Semiurban,0,2450000.0,21.8,0
LN00039,33,Male,Yes,2,Graduate,No,159500000.0,29200000.0,1.0,438000000.0,36.0,Semiurban,0,2090000.0,10.1,0
LN00040,49,Male,Yes,1,Not Graduate,No,253400000.0,77000000.0,1.0,161000000.0,60.0,Semiurban,0,7270000.0,4.1,0
LN00041,28,Male,No,0,Not Graduate,No,173300000.0,53000000.0,1.0,418000000.0,60.0,Semiurban,2,5970000.0,17.5,0
LN00042,55,Male,Yes,1,Graduate,No,131200000.0,10300000.0,1.0,140000000.0,60.0,Semiurban,2,1000000.0,16.0,0
LN00043,52,Male,No,0,Graduate,No,159700000.0,40200000.0,1.0,312000000.0,48.0,Semiurban,0,4420000.0,8.1,0
LN00044,36,Male,No,1,Graduate,No,344000000.0,15800000.0,1.0,292000000.0,60.0,Semiurban,1,5160000.0,18.5,1
LN00045,24,Female,Yes,0,Graduate,No,95400000.0,96800000.0,1.0,230000000.0,72.0,Urban,1,2890000.0,16.0,1
LN00046,64,Male,Yes,2,Graduate,No,43300000.0,142300000.0,0.0,142000000.0,12.0,Urban,0,8580000.0,3.9,0
LN00047,41,Female,Yes,2,Graduate,No,65700000.0,156700000.0,1.0,204000000.0,36.0,Semiurban,0,980000.0,5.1,1
LN00048,61,Male,Yes,0,Not Graduate,Yes,68400000.0,46600000.0,1.0,415000000.0,60.0,Semiurban,1,670000.0,16.6,0
LN00049,51,Male,Yes,0,Graduate,No,73900000.0,24200000.0,1.0,567000000.0,60.0,Semiurban,1,6320000.0,15.0,1
LN00050,56,Male,Yes,0,Graduate,,75300000.0,45300000.0,1.0,732000000.0,48.0,Semiurban,3,1700000.0,0.9,0
LN00051,55,Female,No,1,Graduate,No,118500000.0,16500000.0,0.0,334000000.0,48.0,Urban,2,2930000.0,6.4,0
LN00052,29,Male,No,0,Graduate,No,137500000.0,228500000.0,0.0,287000000.0,60.0,Semiurban,1,1360000.0,2.3,0
LN00053,37,Female,Yes,1,Graduate,No,136700000.0,91000000.0,,320000000.0,60.0,Urban,2,5450000.0,24.4,1
LN00054,42,Female,Yes,1,Graduate,No,80300000.0,44700000.0,,722000000.0,60.0,Urban,0,3810000.0,12.1,0
LN00055,43,Male,No,3+,Graduate,Yes,207300000.0,77700000.0,1.0,333000000.0,24.0,Semiurban,0,2730000.0,12.7,1
LN00056,22,Female,No,0,Graduate,No,161000000.0,23600000.0,,262000000.0,60.0,Semiurban,0,1260000.0,3.7,1
LN00057,45,Male,Yes,0,Not Graduate,No,286300000.0,14400000.0,1.0,215000000.0,48.0,Urban,1,2680000.0,11.7,1
LN00058,27,Male,Yes,0,Not Graduate,No,191200000.0,6000000.0,0.0,229000000.0,60.0,Urban,2,3790000.0,24.1,0
LN00059,54,Male,No,1,Graduate,No,99000000.0,37400000.0,1.0,309000000.0,60.0,Rural,2,2070000.0,21.6,1
LN00060,51,Male,No,0,Graduate,No,246000000.0,29600000.0,1.0,165000000.0,60.0,Rural,0,2120000.0,12.0,1
LN00061,62,Female,No,0,Graduate,No,139500000.0,53000000.0,1.0,177000000.0,36.0,Rural,1,3020000.0,22.0,1
LN00062,54,Female,Yes,0,Not Graduate,No,186100000.0,35400000.0,1.0,241000000.0,36.0,Urban,0,4810000.0,10.5,0
LN00063,37,,Yes,2,Not Graduate,No,178300000.0,51100000.0,1.0,195000000.0,60.0,Rural,0,4040000.0,15.3,1
LN00064,64,Male,Yes,3+,Graduate,Yes,112100000.0,67000000.0,1.0,347000000.0,72.0,Semiurban,0,6830000.0,9.6,0
LN00065,39,Female,Yes,0,Graduate,No,127000000.0,10900000.0,1.0,362000000.0,84.0,Urban,1,2820000.0,17.0,0
LN00066,35,Male,No,0,Graduate,Yes,111600000.0,70100000.0,1.0,289000000.0,60.0,Urban,2,6100000.0,17.5,0
LN00067,61,,Yes,0,Graduate,No,75100000.0,25300000.0,1.0,327000000.0,60.0,Urban,1,1330000.0,2.6,1
LN00068,37,Male,No,0,Graduate,No,36900000.0,53000000.0,1.0,267000000.0,72.0,Rural,1,3960000.0,22.5,1
LN00069,24,Female,No,3+,Graduate,No,81900000.0,79300000.0,1.0,31000000.0,60.0,Semiurban,0,3820000.0,6.3,1
